STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1864,0.0,,0.0,G,,,,,7.0,G,249.0,G,165.0,G,0.0,G,0.0,G,-23.8,"G,0103, ",,,16.4,"G,0801, ",-3.1,"G,0811",-0.6,"G,0630",-4.9,"G,0629",,,,,,,-1.4,G,1.2,G,-4.1,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1865,,,,,,,,,12.0,G,219.0,G,141.0,G,0.0,G,0.0,G,-26.8,"G,0211, ",,,20.4,"G,0828, ",-2.2,"G,0804",-2.1,"G,0713",-3.0,"G,0511",,,,,,,-0.7,G,2.0,G,-3.4,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1866,,,,,,,,,1.0,G,234.0,G,128.0,G,0.0,G,0.0,G,-18.0,"G,0315, ",,,16.8,"G,0716, ",-3.2,"G,0801",-0.8,"G,0731",-6.4,"G,0618",,,,,,,-0.4,G,2.6,G,-3.3,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1867,,,,,,,,,10.0,G,219.0,G,,,,,,,-20.4,"G,1203, ",,,,,-0.3,"G,0808",-2.6,"G,0730",-2.6,"G,0730",,,,,,,,,,,-3.6,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1869,,,,,,,,,9.0,G,216.0,G,138.0,G,0.0,G,0.0,G,-21.8,"G,1229, ",,,17.3,"G,0730, ",-0.6,"G,0803",0.0,"G,0703",-3.2,"G,0623",,,,,,,-0.9,G,1.9,G,-3.7,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1870,,,,,,,,,11.0,G,223.0,G,,,,,,,-27.0,"G,1223, ",,,,,-4.0,"G,0821",-4.2,"G,0703",-4.2,"G,0703",,,,,,,,,,,-4.3,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1871,,,,,,,,,9.0,G,249.0,G,145.0,G,0.0,G,0.0,G,-24.0,"G,1207, ",,,17.5,"G,0719, ",-0.2,"G,0801",0.0,"G,0731",-4.0,"G,0628",,,,,,,-1.4,G,1.4,G,-4.2,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1872,,,,,,,,,0.0,G,233.0,G,153.0,G,0.0,G,0.0,G,-16.6,"G,0321, ",,,20.2,"G,0727, ",-1.0,"G,0803",-1.8,"G,0627",-5.2,"G,0605",,,,,,,-0.6,G,2.0,G,-3.1,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1873,,,,,,,,,3.0,G,234.0,G,146.0,G,0.0,G,0.0,G,-20.2,"G,0213, ",,,18.0,"G,0808, ",0.0,"G,0810",-1.3,"G,0626",-3.0,"G,0613",,,,,,,-0.4,G,2.3,G,-3.1,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1874,,,,,,,,,7.0,G,220.0,G,144.0,G,0.0,G,0.0,G,-23.0,"G,0210, ",,,19.3,"G,0704, ",-1.6,"G,0809",-0.1,"G,0730",-3.0,"G,0617",,,,,,,-1.0,G,1.8,G,-3.9,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1875,,,,,,,,,6.0,G,214.0,G,145.0,G,0.0,G,0.0,G,-20.3,"G,0210, ",,,17.2,"G,0818,+",-0.6,"G,0804",0.0,"G,0724",-2.4,"G,0713",,,,,,,-0.9,G,1.8,G,-3.6,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1876,,,,,,,,,9.0,G,234.0,G,137.0,G,0.0,G,0.0,G,-20.0,"G,1110, ",,,17.0,"G,0731, ",-2.6,"G,0825",-0.8,"G,0725",-3.6,"G,0618",,,,,,,-0.6,G,2.3,G,-3.5,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1877,,,,,,,,,6.0,G,235.0,G,142.0,G,0.0,G,0.0,G,-21.5,"G,0302, ",,,19.4,"G,0819, ",-1.7,"G,0803",-0.3,"G,0718",-2.3,"G,0709",,,,,,,-0.9,G,2.0,G,-3.8,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1880,,,,,,,,,4.0,G,235.0,G,131.0,G,0.0,G,0.0,G,-21.9,"G,0116, ",,,18.4,"G,0719, ",0.0,"G,0802",-0.9,"G,0705",-5.5,"G,0606",,,,,,,0.1,G,2.6,G,-2.5,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1881,,,,,,,,,10.0,G,228.0,G,140.0,G,0.0,G,0.0,G,-21.7,"G,0116, ",,,19.5,"G,0705, ",-0.4,"G,0814",-1.6,"G,0728",-5.0,"G,0612",,,,,,,-0.5,G,2.2,G,-3.2,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1882,,,,,,,,,0.0,G,252.0,G,126.0,G,0.0,G,0.0,G,-17.7,"G,0323, ",,,15.7,"G,0602, ",0.0,"G,0816",-0.4,"G,0731",-2.3,"G,0621",,,,,,,-0.5,G,2.2,G,-3.1,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1883,,,,,,,,,13.0,G,243.0,G,157.0,G,0.0,G,0.0,G,-21.8,"G,0313, ",,,17.0,"G,0814, ",0.0,"G,0802",-1.8,"G,0728",-2.8,"G,0725",,,,,,,-1.8,G,0.9,G,-4.5,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1884,0.0,,0.0,G,,,,,2.0,G,262.0,G,143.0,G,0.0,G,0.0,G,-18.3,"G,1201, ",,,17.1,"G,0716, ",-0.5,"G,0821",-1.5,"G,0729",-3.2,"G,0726",,,,,,,-1.4,G,1.5,G,-4.3,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1885,,,,,,,,,9.0,G,254.0,G,167.0,G,0.0,G,0.0,G,-21.8,"G,0325, ",,,15.8,"G,0812,+",-4.0,"G,0819",-1.2,"G,0623",-6.4,"G,0622",6741.1,1.0,6741.1,G,,,-1.4,G,1.7,G,-4.4,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1886,0.0,,0.0,G,,,,,22.0,G,262.0,G,145.0,G,0.0,G,0.0,G,-25.0,"G,0207, ",,,17.6,"G,0810,+",-1.8,"G,0801",-1.0,"G,0729",-2.2,"G,0711",,,,,,,-1.5,G,2.0,G,-5.1,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1887,0.0,,0.0,G,,,,,19.0,G,267.0,G,157.0,G,0.0,G,0.0,G,-24.8,"G,1228, ",,,17.0,"G,0801, ",-3.0,"G,0818",-0.6,"G,0707",-2.2,"G,0630",7103.7,7.0,7103.7,G,,,-2.1,G,1.5,G,-5.8,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
SZ000006717,"COL DU GRAND ST BERNARD, SZ",45.8667,7.1667,2472.0,1888,0.0,,0.0,G,,,,,15.0,G,284.0,G,160.0,G,0.0,G,0.0,G,-23.5,"G,0131, ",,,19.3,"G,0811, ",-3.2,"G,0802",-0.5,"G,0729",-3.5,"G,0714",7586.0,0.0,7586.0,G,,,-1.8,G,1.7,G,-5.3,G,SZ000006717,Switzerland,COL DU GRAND ST-BERNARD
