STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
SY000040022,"LATTAKIA, SY",35.53,35.77,7.0,1933,,,,,63,E,39,E,,,,,,,,,,,,,34.0," ,E,0321, ",,,,,,,,,,,,,534.0," ,E",,,,,,,SY000040022,Syria,LATTAKIA
SY000040022,"LATTAKIA, SY",35.53,35.77,7.0,1965,,,,,89,E,56,E,,,,,,,,,,,,,46.5," ,E,1216, ",,,,,,,,,,,,,821.5," ,E",,,,,,,SY000040022,Syria,LATTAKIA
SY000040022,"LATTAKIA, SY",35.53,35.77,7.0,1966,,,,,81,E,53,E,,,,,,,,,,,,,58.1," ,E,1216, ",,,,,,,,,,,,,777.7," ,E",,,,,,,SY000040022,Syria,LATTAKIA
SY000040022,"LATTAKIA, SY",35.53,35.77,7.0,1967,,,,,101,E,65,E,,,,,,,,,,,,,70.2," ,E,1208, ",,,,,,,,,,,,,909.5," ,E",,,,,,,SY000040022,Syria,LATTAKIA
SY000040022,"LATTAKIA, SY",35.53,35.77,7.0,1968,1269.7,,1269.7,G,90,E,59,E,0.0,G,0.0,G,0.0,G,228.0,G,6.0,G,2.7,"G,0203, ",95.3," ,E,1223, ",34.3,"G,1015, ",,,,,,,,,,,1133.2," ,E",19.9,G,23.5,G,16.3,G,SY000040022,Syria,LATTAKIA
SY000040022,"LATTAKIA, SY",35.53,35.77,7.0,1969,1215.3,,1215.3,G,80,E,56,E,0.0,G,0.0,G,0.0,G,220.0,G,8.0,G,3.0,"G,0130, ",83.1," ,E,0119, ",36.8,"G,0601, ",,,,,,,584.0,0.0,584.0,G,1080.0," ,E",20.0,G,23.4,G,16.6,G,SY000040022,Syria,LATTAKIA
SY000040022,"LATTAKIA, SY",35.53,35.77,7.0,1970,1251.6,,1251.6,G,74,E,51,E,0.0,G,0.0,G,0.0,G,235.0,G,5.0,G,3.5,"G,1212, ",49.9," ,E,0309, ",34.2,"G,0426, ",,,,,,,474.2,2.0,474.2,G,647.5," ,E",20.3,G,23.8,G,16.7,G,SY000040022,Syria,LATTAKIA
SY000040022,"LATTAKIA, SY",35.53,35.77,7.0,1971,1205.6,,1205.6,G,78,E,57,E,0.0,G,0.0,G,0.0,G,235.0,G,3.0,G,1.6,"G,0213, ",52.3," ,E,1221, ",33.0,"G,0618, ",,,,,,,623.1,1.0,623.1,G,836.2," ,E",19.8,G,23.4,G,16.2,G,SY000040022,Syria,LATTAKIA
SY000040022,"LATTAKIA, SY",35.53,35.77,7.0,1972,1271.8,,1271.8,G,58,E,35,E,0.0,G,0.0,G,0.0,G,233.0,G,6.0,G,2.6,"G,0206, ",34.4," ,E,1219, ",36.8,"G,1025, ",,,,,,,828.0,0.0,828.0,G,434.4," ,E",19.6,G,23.5,G,15.7,G,SY000040022,Syria,LATTAKIA
SY000040022,"LATTAKIA, SY",35.53,35.77,7.0,1973,1220.7,,1220.7,G,65,E,42,E,0.0,G,0.0,G,0.0,G,223.0,G,10.0,G,0.5,"G,0114, ",50.3," ,E,1113, ",34.8,"G,0508, ",,,,,,,625.2,2.0,625.2,G,539.3," ,E",19.8,G,23.7,G,15.9,G,SY000040022,Syria,LATTAKIA
