STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1899,,,,,45.0,r,27.0,r,,,,,,,,,,,,,20.5," ,r,0205, ",,,,,,,,,,,,,259.7," ,r",,,,,,,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1900,,,,,44.0,r,23.0,r,,,,,,,,,,,,,22.0," ,r,1026, ",,,,,,,,,,,,,196.3," ,r",,,,,,,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1902,,,,,49.0,r,28.0,r,,,,,,,,,,,,,25.0," ,r,1227, ",,,,,,,,,,,,,233.3," ,r",,,,,,,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1903,,,,,42.0,r,23.0,r,,,,,,,,,,,,,30.0," ,r,0224, ",,,,,,,,,,,,,262.3," ,r",,,,,,,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1904,,,,,51.0,r,20.0,r,,,,,,,,,,,,,11.9," ,r,0324, ",,,,,,,,,,,,,137.2," ,r",,,,,,,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1908,,,,,42.0,r,29.0,r,,,,,,,,,,,,,15.1," ,r,0327, ",,,,,,,,,,,,,202.8," ,r",,,,,,,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1909,,,,,48.0,r,17.0,r,,,,,,,,,,,,,16.7," ,r,1110, ",,,,,,,,,,,,,141.5," ,r",,,,,,,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1910,,,,,68.0,r,48.0,r,,,,,,,,,,,,,113.3," ,r,0313, ",,,,,,,,,,,,,1260.8," ,r",,,,,,,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1911,,,,,44.0,r,15.0,r,,,,,,,,,,,,,13.0," ,r,0506, ",,,,,,,,,,,,,124.5," ,r",,,,,,,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1912,,,,,56.0,r,29.0,r,,,,,,,,,,,,,20.4," ,r,0331, ",,,,,,,,,,,,,188.9," ,r",,,,,,,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1913,,,,,47.0,r,30.0,r,,,,,,,,,,,,,15.1," ,r,0102, ",,,,,,,,,,,,,231.5," ,r",,,,,,,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1914,,,,,49.0,r,21.0,r,0.0, ,144.0,r,,,,,,,-16.4,"r,0211,+",31.3," ,r,1027, ",,,0.0,"r,1015",-0.3,"r,0329",-2.9,"r,0327",,,,,220.8," ,r",,,,,2.1,r,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1915,,,,,25.0,r,12.0,r,1.0,r,112.0,r,,,,,,,-18.2,"r,0210, ",24.1," ,r,0429, ",,,-1.0,"r,1122",0.0,"r,0319",-2.5,"r,0316",,,,,117.9," ,r",,,,,4.5,r,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1916,,,,,30.0,r,13.0,r,0.0, ,137.0,r,,,,,,,-14.9,"r,0110, ",19.2," ,r,0421, ",,,-1.9,"r,1020",-2.1,"r,0329",-2.9,"r,0309",,,,,93.1," ,r",,,,,4.1,r,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1930,,,,,64.0,r,33.0,r,,,,,,,,,,,,,23.7," ,r,0223, ",,,,,,,,,,,,,273.2," ,r",,,,,,,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1931,186.9,,186.9,r,,,,,3.0,r,118.0,r,72.0,r,135.0,r,0.0,r,-19.2,"r,1231, ",,,31.6,"r,0831, ",-0.3,"r,1106",-1.2,"r,0316",-2.7,"r,0315",3740.4,4.0,3740.4,r,,,8.7,r,14.3,r,3.2,r,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3720.8,8.0,3720.8,r,,,,,,,,,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1938,269.0,,269.0,r,62.0,r,20.0,r,4.0,r,134.0,r,68.0,r,144.0,r,8.0,r,-19.4,"r,0203,+",26.7," ,r,0111, ",34.0,"r,0815,+",-3.5,"r,1117",-0.4,"r,0402",-5.6,"r,0327",,,,,250.2," ,r",8.6,r,14.1,r,3.1,r,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1939,360.5,,360.5,r,53.0,r,21.0,r,2.0,r,145.0,r,62.0,r,157.0,r,11.0,r,-20.0,"r,0109, ",18.0," ,r,0209, ",34.7,"r,0724,+",-0.8,"r,1028",-4.0,"r,0418",-4.0,"r,0418",3937.0,0.0,3937.0,r,163.5," ,r",8.8,r,14.3,r,3.3,r,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1940,360.9,,360.9,r,47.0,r,20.0,r,0.0,r,120.0,r,46.0,r,140.0,r,8.0,r,-14.7,"r,1227, ",22.5," ,r,1231, ",34.4,"r,0806,+",-1.0,"r,1101",-0.1,"r,0508",-2.4,"r,0321",3374.0,0.0,3374.0,r,173.8," ,r",9.9,r,15.0,r,4.8,r,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1941,374.8,,374.8,r,69.0,r,37.0,r,2.0,r,117.0,r,53.0,r,155.0,r,12.0,r,-19.2,"r,0126, ",23.8," ,r,0101, ",34.0,"r,0814, ",-2.7,"r,1118",-0.4,"r,0404",-3.1,"r,0315",3565.4,4.0,3565.4,r,276.2," ,r",9.8,r,15.4,r,4.2,r,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1942,405.4,,405.4,r,55.0,r,28.0,r,0.0,r,107.0,r,61.0,r,137.0,r,22.0,r,-17.5,"r,0112, ",15.9," ,r,0322, ",34.8,"r,0704, ",-1.1,"r,1127",-1.2,"r,0326",-2.3,"r,0308",3323.8,8.0,3323.8,r,199.8," ,r",9.9,r,15.4,r,4.4,r,TI000038954,Tajikistan,KHOROG
TI000038954,"KHOROG, TI",37.5,71.5,2077.0,1943,353.3,,353.3,r,64.0,r,36.0,r,0.0,r,130.0,r,50.0,r,137.0,r,15.0,r,-14.4,"r,1231, ",21.1," ,r,0317, ",35.6,"r,0803, ",-0.4,"r,1021",-3.9,"r,0401",-3.9,"r,0401",3569.9,9.0,3569.9,r,242.2," ,r",9.4,r,14.7,r,4.2,r,TI000038954,Tajikistan,KHOROG
