STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
TZ000063832,"TABORA AIRPORT, TZ",-5.083,32.833,1182.0,1952,,,,,90,Q,58,Q,,,,,,,,,,,,,76.7," ,Q,0329, ",,,,,,,,,,,,,912.5," ,Q",,,,,,,TZ000063832,Tanzania,TABORA AIRPORT
TZ000063832,"TABORA AIRPORT, TZ",-5.083,32.833,1182.0,1953,,,,,85,Q,57,Q,,,,,,,,,,,,,73.2," ,Q,0403, ",,,,,,,,,,,,,825.7," ,Q",,,,,,,TZ000063832,Tanzania,TABORA AIRPORT
TZ000063832,"TABORA AIRPORT, TZ",-5.083,32.833,1182.0,1954,,,,,85,Q,53,Q,,,,,,,,,,,,,60.7," ,Q,0116, ",,,,,,,,,,,,,672.3," ,Q",,,,,,,TZ000063832,Tanzania,TABORA AIRPORT
TZ000063832,"TABORA AIRPORT, TZ",-5.083,32.833,1182.0,1955,,,,,90,Q,53,Q,,,,,,,,,,,,,66.8," ,Q,0323, ",,,,,,,,,,,,,926.9," ,Q",,,,,,,TZ000063832,Tanzania,TABORA AIRPORT
TZ000063832,"TABORA AIRPORT, TZ",-5.083,32.833,1182.0,1956,,,,,87,Q,53,Q,,,,,,,,,,,,,40.9," ,Q,0125, ",,,,,,,,,,,,,740.5," ,Q",,,,,,,TZ000063832,Tanzania,TABORA AIRPORT
TZ000063832,"TABORA AIRPORT, TZ",-5.083,32.833,1182.0,1957,,,,,111,Q,67,Q,,,,,,,,,,,,,59.2," ,Q,0228, ",,,,,,,,,,,,,891.5," ,Q",,,,,,,TZ000063832,Tanzania,TABORA AIRPORT
TZ000063832,"TABORA AIRPORT, TZ",-5.083,32.833,1182.0,1958,,,,,81,Q,53,Q,,,,,,,,,,,,,43.7," ,Q,0120, ",,,,,,,,,,,,,732.5," ,Q",,,,,,,TZ000063832,Tanzania,TABORA AIRPORT
TZ000063832,"TABORA AIRPORT, TZ",-5.083,32.833,1182.0,1959,,,,,94,Q,59,Q,,,,,,,,,,,,,43.4," ,Q,0106, ",,,,,,,,,,,,,795.7," ,Q",,,,,,,TZ000063832,Tanzania,TABORA AIRPORT
TZ000063832,"TABORA AIRPORT, TZ",-5.083,32.833,1182.0,1960,,,,,104,Q,60,Q,,,,,,,,,,,,,62.0," ,Q,0211, ",,,,,,,,,,,,,927.1," ,Q",,,,,,,TZ000063832,Tanzania,TABORA AIRPORT
TZ000063832,"TABORA AIRPORT, TZ",-5.083,32.833,1182.0,1961,,,,,118,Q,87,Q,,,,,,,,,,,,,81.3," ,Q,1123, ",,,,,,,,,,,,,1071.3," ,Q",,,,,,,TZ000063832,Tanzania,TABORA AIRPORT
TZ000063832,"TABORA AIRPORT, TZ",-5.083,32.833,1182.0,1962,,,,,109,Q,81,Q,,,,,,,,,,,,,55.9," ,Q,1126, ",,,,,,,,,,,,,1197.3," ,Q",,,,,,,TZ000063832,Tanzania,TABORA AIRPORT
TZ000063832,"TABORA AIRPORT, TZ",-5.083,32.833,1182.0,1963,,,,,96,Q,70,Q,,,,,,,,,,,,,103.0," ,Q,0421, ",,,,,,,,,,,,,1043.3," ,Q",,,,,,,TZ000063832,Tanzania,TABORA AIRPORT
