STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
TH000048500,"PRACHUAP KHIRI KHAN, TH",11.8,99.8,3.0,1951,,,,,97.0,I,66.0,I,0.0,G,0.0,G,,,,,,,11.1,"G,0102, ",99.6," ,I,1109, ",,,,,,,,,,,,,1240.3," ,I",,,,,22.3,G,TH000048500,Thailand,PRACHUAP KHIRI KHAN
TH000048500,"PRACHUAP KHIRI KHAN, TH",11.8,99.8,3.0,1952,3152.9,,3152.9,G,115.0,I,79.0,I,0.0,G,0.0,G,0.0,G,366.0,G,170.0,G,13.9,"G,1219, ",129.7," ,I,1003, ",39.3,"G,0430, ",,,,,,,0.0,0.0,0.0,G,1342.7," ,I",27.0,G,31.6,G,22.3,G,TH000048500,Thailand,PRACHUAP KHIRI KHAN
TH000048500,"PRACHUAP KHIRI KHAN, TH",11.8,99.8,3.0,1953,3111.3,,3111.3,G,141.0,I,97.0,I,0.0,G,0.0,G,0.0,G,365.0,G,132.0,G,13.9,"G,0110, ",222.5," ,I,1119, ",36.4,"G,0417, ",,,,,,,0.0,0.0,0.0,G,1522.7," ,I",26.9,G,31.3,G,22.4,G,TH000048500,Thailand,PRACHUAP KHIRI KHAN
TH000048500,"PRACHUAP KHIRI KHAN, TH",11.8,99.8,3.0,1954,3158.6,,3158.6,G,103.0,I,59.0,I,0.0,G,0.0,G,0.0,G,365.0,G,188.0,G,13.0,"G,1122, ",80.5," ,I,0501, ",38.5,"G,0427, ",,,,,,,0.0,0.0,0.0,G,954.1," ,I",27.0,G,32.1,G,21.8,G,TH000048500,Thailand,PRACHUAP KHIRI KHAN
TH000048500,"PRACHUAP KHIRI KHAN, TH",11.8,99.8,3.0,1955,3011.7,,3011.7,G,120.0,I,68.0,I,0.0,G,0.0,G,0.0,G,365.0,G,149.0,G,13.5,"G,0124, ",205.5," ,I,1013, ",38.7,"G,0510, ",,,,,,,0.0,0.0,0.0,G,1479.8," ,I",26.6,G,31.2,G,21.9,G,TH000048500,Thailand,PRACHUAP KHIRI KHAN
TH000048500,"PRACHUAP KHIRI KHAN, TH",11.8,99.8,3.0,1956,2902.2,,2902.2,G,121.0,I,75.0,I,0.0,G,0.0,G,0.0,G,366.0,G,107.0,G,11.4,"G,1231, ",63.7," ,I,0312, ",35.7,"G,0420, ",,,,,,,0.0,0.0,0.0,G,991.5," ,I",26.3,G,31.0,G,21.5,G,TH000048500,Thailand,PRACHUAP KHIRI KHAN
TH000048500,"PRACHUAP KHIRI KHAN, TH",11.8,99.8,3.0,1957,3334.4,,3334.4,G,94.0,I,54.0,I,0.0,G,0.0,G,0.0,G,365.0,G,200.0,G,12.1,"G,0101, ",116.9," ,I,1030, ",38.9,"G,0517, ",,,,,,,0.0,0.0,0.0,G,660.7," ,I",27.5,G,32.7,G,22.2,G,TH000048500,Thailand,PRACHUAP KHIRI KHAN
TH000048500,"PRACHUAP KHIRI KHAN, TH",11.8,99.8,3.0,1958,3221.3,,3221.3,G,97.0,I,55.0,I,0.0,G,0.0,G,0.0,G,365.0,G,175.0,G,14.7,"G,1227, ",155.2," ,I,1019, ",37.6,"G,0523,+",,,,,,,0.0,0.0,0.0,G,926.9," ,I",27.2,G,32.0,G,22.3,G,TH000048500,Thailand,PRACHUAP KHIRI KHAN
TH000048500,"PRACHUAP KHIRI KHAN, TH",11.8,99.8,3.0,1959,3366.7,,3366.7,G,124.0,I,71.0,I,0.0,G,0.0,G,0.0,G,365.0,G,201.0,G,14.0,"G,0101, ",81.5," ,I,1004, ",38.1,"G,0427, ",,,,,,,0.0,0.0,0.0,G,1150.8," ,I",27.6,G,32.3,G,22.8,G,TH000048500,Thailand,PRACHUAP KHIRI KHAN
TH000048500,"PRACHUAP KHIRI KHAN, TH",11.8,99.8,3.0,1960,3381.9,,3381.9,G,106.0,I,66.0,I,0.0,G,0.0,G,0.0,G,366.0,G,178.0,G,12.3,"G,0104, ",68.0," ,I,1004, ",39.0,"G,0423, ",,,,,,,0.0,0.0,0.0,G,907.2," ,I",27.6,G,32.2,G,22.9,G,TH000048500,Thailand,PRACHUAP KHIRI KHAN
