STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
TS000060765,"GABES, TS",33.88,10.1,4.0,1887,,,,,30.0,E,9.0,E,0.0, ,14.0,E,,,,,,,-2.6,"E,0103, ",68.2," ,E,1024, ",,,,,-0.3,"E,0201",-2.4,"E,0125",,,,,134.7," ,E",,,,,12.2,E,TS000060765,Tunisia,GABES
TS000060765,"GABES, TS",33.88,10.1,4.0,1889,,,,,,,,,0.0, ,3.0,E,,,,,,,-0.5,"E,0214, ",,,,,,,-0.1,"E,0224",,,,,,,,,,,,,13.7,E,TS000060765,Tunisia,GABES
TS000060765,"GABES, TS",33.88,10.1,4.0,1907,,,,,19.0,E,12.0,E,,,,,,,,,,,,,28.0," ,E,0128, ",,,,,,,,,,,,,109.0," ,E",,,,,,,TS000060765,Tunisia,GABES
TS000060765,"GABES, TS",33.88,10.1,4.0,1908,,,,,14.0,E,9.0,E,,,,,,,,,,,,,14.0," ,E,0115, ",,,,,,,,,,,,,73.9," ,E",,,,,,,TS000060765,Tunisia,GABES
TS000060765,"GABES, TS",33.88,10.1,4.0,1910,,,,,25.0,E,15.0,E,,,,,,,,,,,,,25.0," ,E,1219, ",,,,,,,,,,,,,147.8," ,E",,,,,,,TS000060765,Tunisia,GABES
TS000060765,"GABES, TS",33.88,10.1,4.0,1911,,,,,32.0,E,17.0,E,,,,,,,,,,,,,103.5," ,E,1020, ",,,,,,,,,,,,,285.7," ,E",,,,,,,TS000060765,Tunisia,GABES
TS000060765,"GABES, TS",33.88,10.1,4.0,1922,,,,,13.0,E,8.0,E,,,,,,,,,,,,,96.0," ,E,1124, ",,,,,,,,,,,,,306.6," ,E",,,,,,,TS000060765,Tunisia,GABES
TS000060765,"GABES, TS",33.88,10.1,4.0,1923,,,,,19.0,E,13.0,E,,,,,,,,,,,,,7.5," ,E,0929, ",,,,,,,,,,,,,68.6," ,E",,,,,,,TS000060765,Tunisia,GABES
TS000060765,"GABES, TS",33.88,10.1,4.0,1925,,,,,21.0,E,13.0,E,,,,,,,,,,,,,9.0," ,E,0512,+",,,,,,,,,,,,,89.1," ,E",,,,,,,TS000060765,Tunisia,GABES
TS000060765,"GABES, TS",33.88,10.1,4.0,1926,,,,,21.0,E,13.0,E,0.0, ,1.0,E,,,,,,,0.0,"E,0110, ",27.3," ,E,1128, ",,,,,0.0,"E,0110",,,,,,,122.0," ,E",,,,,13.4,E,TS000060765,Tunisia,GABES
