STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1929,387.0,,387.0,G,,,,,0.0,G,45.0,G,1.0,G,118.0,G,1.0,G,-6.0,"G,0318, ",,,33.2,"G,0907, ",,,-1.0,"G,0420",-3.4,"G,0319",,,,,,,13.6,G,16.7,G,10.5,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1930,338.2,,338.2,G,,,,,0.0,G,9.0,G,0.0,G,136.0,G,0.0,G,-5.2,"G,0212, ",,,31.0,"G,0410, ",0.0,"G,1222",-1.1,"G,0222",-5.2,"G,0212",1706.0,0.0,1706.0,G,,,14.6,G,17.7,G,11.5,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1931,414.4,,414.4,G,,,,,0.0,G,22.0,G,0.0,G,141.0,G,0.0,G,-3.6,"G,1223, ",,,30.0,"G,1030,+",-0.2,"G,1202",-1.6,"G,0404",-2.2,"G,0320",1682.1,1.0,1682.1,G,,,14.0,G,17.3,G,10.7,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1932,265.7,,265.7,G,,,,,0.0,G,43.0,G,1.0,G,153.0,G,1.0,G,-6.2,"G,0208, ",,,32.8,"G,0509, ",-0.1,"G,1119",-0.3,"G,0331",-4.0,"G,0328",2294.8,8.0,2294.8,G,,,13.2,G,16.8,G,9.6,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1933,209.4,,209.4,G,,,,,0.0,G,26.0,G,1.0,G,112.0,G,0.0,G,-5.4,"G,1205, ",,,28.5,"G,0511, ",-0.9,"G,1203",-0.2,"G,0311",-2.4,"G,0304",2160.0,0.0,2160.0,G,,,13.0,G,16.3,G,9.6,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935.6,6.0,1935.6,G,,,,,,,,,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1935,328.4,,328.4,G,,,,,0.0,G,11.0,G,0.0,G,148.0,G,2.0,G,-1.5,"G,0317, ",,,37.9,"G,0502, ",,,-0.3,"G,0322",,,,,,,,,14.2,G,17.5,G,11.0,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581.8,8.0,1581.8,G,,,,,,,,,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1937,486.0,,486.0,G,,,,,0.0,G,14.0,G,0.0,G,151.0,G,1.0,G,-4.3,"G,0203, ",,,33.8,"G,1011, ",,,-2.1,"G,0204",-4.3,"G,0203",,,,,,,15.4,G,18.7,G,12.2,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1938,548.9,,548.9,G,,,,,0.0,G,13.0,G,2.0,G,129.0,G,1.0,G,-3.9,"G,0211, ",,,35.6,"G,0815, ",,,0.0,"G,0320",-3.6,"G,0227",1714.3,3.0,1714.3,G,,,14.7,G,17.7,G,11.7,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1939,492.5,,492.5,G,,,,,0.0,G,2.0,G,0.0,G,161.0,G,0.0,G,-1.6,"G,0308, ",,,31.2,"G,0506, ",,,-1.6,"G,0308",,,1611.5,5.0,1611.5,G,,,15.3,G,18.5,G,12.0,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1940,501.1,,501.1,G,,,,,0.0,G,19.0,G,0.0,G,152.0,G,0.0,G,-3.4,"G,0113, ",,,32.0,"G,0601, ",,,-0.3,"G,0325",-2.5,"G,0311",1741.2,2.0,1741.2,G,,,15.1,G,18.2,G,11.9,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1942,418.9,,418.9,G,,,,,0.0,G,17.0,G,2.0,G,135.0,G,1.0,G,-4.8,"G,0126, ",,,35.0,"G,0523, ",,,-2.4,"G,0325",-2.4,"G,0325",2212.9,9.0,2212.9,G,,,14.1,G,17.1,G,11.2,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1943,386.9,,386.9,G,,,,,0.0,G,4.0,G,0.0,G,145.0,G,0.0,G,-3.5,"G,0307, ",,,30.9,"G,0509, ",,,-3.5,"G,0307",-3.5,"G,0307",1869.1,1.0,1869.1,G,,,14.5,G,17.6,G,11.5,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1944,399.2,,399.2,G,,,,,0.0,G,5.0,G,0.0,G,147.0,G,1.0,G,-1.6,"G,0117, ",,,32.2,"G,0501, ",,,-0.2,"G,0226",,,1484.7,7.0,1484.7,G,,,15.3,G,18.4,G,12.1,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1945,402.2,,402.2,G,,,,,0.0,G,8.0,G,0.0,G,127.0,G,2.0,G,-3.2,"G,0225, ",,,32.9,"G,0527, ",,,-0.8,"G,0322",-3.2,"G,0225",1750.3,3.0,1750.3,G,,,14.1,G,17.2,G,11.0,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1946,527.9,,527.9,G,,,,,0.0,G,13.0,G,0.0,G,142.0,G,0.0,G,-2.2,"G,0123, ",,,30.4,"G,1119, ",0.0,"G,1219",-1.3,"G,0221",-2.2,"G,0123",1844.7,7.0,1844.7,G,,,14.9,G,17.9,G,11.8,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1947,444.7,,444.7,G,,,,,0.0,G,11.0,G,0.0,G,158.0,G,1.0,G,-5.2,"G,0203, ",,,33.5,"G,0829, ",-1.0,"G,1225",-3.6,"G,0204",-3.6,"G,0204",1595.9,9.0,1595.9,G,,,15.4,G,18.7,G,12.1,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1948,425.9,,425.9,G,,,,,0.0,G,15.0,G,0.0,G,134.0,G,0.0,G,-2.8,"G,1228, ",,,32.0,"G,0708,+",0.0,"G,1223",-0.4,"G,0315",,,1626.2,2.0,1626.2,G,,,14.2,G,17.4,G,10.9,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1949,372.3,,372.3,G,,,,,0.0,G,15.0,G,2.0,G,143.0,G,3.0,G,-6.0,"G,0209, ",,,34.5,"G,0605, ",,,0.0,"G,0315",-2.6,"G,0216",2220.7,7.0,2220.7,G,,,14.0,G,17.3,G,10.6,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770.3,3.0,1770.3,G,,,,,,,,,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1951,453.3,,453.3,G,,,,,0.0,G,2.0,G,0.0,G,132.0,G,0.0,G,-1.6,"G,0124, ",,,30.3,"G,0826, ",,,-1.6,"G,0124",,,,,,,,,14.8,G,18.3,G,11.4,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1952,445.0,,445.0,G,,,,,0.0,G,3.0,G,0.0,G,152.0,G,0.0,G,-1.0,"G,0305, ",,,32.1,"G,0403, ",,,-1.0,"G,0305",,,2004.6,6.0,2004.6,G,,,14.9,G,18.4,G,11.5,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1953,399.0,,399.0,G,,,,,0.0,G,14.0,G,0.0,G,136.0,G,0.0,G,-4.8,"G,1128, ",,,28.3,"G,0804, ",-0.2,"G,1126",-0.8,"G,0314",,,1648.5,5.0,1648.5,G,,,13.8,G,16.8,G,10.7,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1954,504.5,,504.5,G,,,,,0.0,G,18.0,G,0.0,G,146.0,G,0.0,G,-5.6,"G,0129, ",,,29.7,"G,0704, ",,,-0.1,"G,0301",-2.2,"G,0206",2283.9,9.0,2283.9,G,,,14.5,G,17.7,G,11.4,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1955,433.1,,433.1,G,,,,,0.0,G,3.0,G,0.0,G,157.0,G,0.0,G,-1.4,"G,1202, ",,,28.4,"G,0805,+",-0.3,"G,1201",,,,,1448.0,0.0,1448.0,G,,,15.3,G,18.6,G,12.0,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1956,309.9,,309.9,G,,,,,0.0,G,19.0,G,0.0,G,112.0,G,0.0,G,-5.1,"G,0131, ",,,30.2,"G,0623, ",-0.3,"G,1110",-1.2,"G,0401",-3.7,"G,0330",1885.5,5.0,1885.5,G,,,13.1,G,16.8,G,9.5,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2125.6,6.0,2125.6,G,,,,,,,,,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1958,319.4,,319.4,G,,,,,0.0,G,11.0,G,0.0,G,126.0,G,1.0,G,-2.5,"G,0201, ",,,32.4,"G,0629, ",-0.5,"G,1129",0.0,"G,0327",-2.5,"G,0201",,,,,,,14.3,G,17.8,G,10.7,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1959,320.4,,320.4,G,,,,,0.0,G,17.0,G,0.0,G,112.0,G,0.0,G,-4.6,"G,0213, ",,,28.6,"G,0726,+",,,-0.7,"G,0308",-3.1,"G,0226",2045.5,5.0,2045.5,G,,,13.4,G,16.6,G,10.1,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1960,261.2,,261.2,G,,,,,0.0,G,10.0,G,0.0,G,135.0,G,0.0,G,-5.8,"G,0206, ",,,29.8,"G,0521, ",,,-0.3,"G,0312",-3.1,"G,0211",2031.1,1.0,2031.1,G,,,14.3,G,17.8,G,10.8,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1961,357.9,,357.9,G,,,,,0.0,G,11.0,G,0.0,G,136.0,G,0.0,G,-3.6,"G,0123, ",,,31.6,"G,0818, ",-0.3,"G,1224",-0.7,"G,0303",-2.2,"G,0124",1623.5,5.0,1623.5,G,,,14.5,G,17.9,G,11.1,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644.3,3.0,1644.3,G,,,,,,,,,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1963,390.4,,390.4,G,,,,,0.0,G,10.0,G,0.0,G,142.0,G,0.0,G,-7.0,"G,0319, ",,,29.4,"G,0823, ",0.0,"G,1225",-4.1,"G,0320",-4.1,"G,0320",,,,,,,14.5,G,17.9,G,11.2,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1964,282.2,,282.2,G,,,,,0.0,G,18.0,G,1.0,G,132.0,G,0.0,G,-4.5,"G,0130, ",,,28.3,"G,0923, ",0.0,"G,1225",-1.4,"G,0213",-3.6,"G,0210",1995.1,1.0,1995.1,G,,,13.6,G,17.0,G,10.1,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1965,322.8,,322.8,G,,,,,0.0,G,8.0,G,0.0,G,148.0,G,1.0,G,-1.6,"G,0110, ",,,32.5,"G,0428, ",,,-0.3,"G,0405",,,1891.1,1.0,1891.1,G,,,13.9,G,17.6,G,10.1,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1966,414.6,,414.6,G,,,,,0.0,G,0.0,G,0.0,G,158.0,G,0.0,G,0.4,"G,0206, ",,,31.3,"G,0604, ",,,,,,,1551.7,7.0,1551.7,G,,,15.9,G,19.5,G,12.3,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1967,297.0,,297.0,G,,,,,0.0,G,11.0,G,0.0,G,128.0,G,0.0,G,-3.7,"G,0203, ",,,28.6,"G,0522, ",-2.5,"G,1223",-0.4,"G,0220",-3.7,"G,0203",1818.9,9.0,1818.9,G,,,13.7,G,17.1,G,10.2,G,TU000017040,Turkey,RIZE
TU000017040,"RIZE, TU",41.0331,40.5167,9.0,1968,291.4,,291.4,G,,,,,0.0,G,9.0,G,0.0,G,135.0,G,0.0,G,-2.6,"G,0315, ",,,31.4,"G,0814, ",,,-0.7,"G,0316",-2.6,"G,0315",1757.7,7.0,1757.7,G,,,14.4,G,17.9,G,10.9,G,TU000017040,Turkey,RIZE
