STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
TX000038507,"TURKMEN BASHI, TX",40.05,53.0,82.0,1937,1324.8,,1324.8,r,24.0,r,8.0,r,0.0,r,43.0,r,4.0,r,182.0,r,73.0,r,-9.5,"r,0306, ",11.0," ,r,0515, ",41.9,"r,0717, ",-2.7,"r,1123",0.0,"r,0310",-2.6,"r,0308",,,,,51.1," ,r",16.3,r,20.3,r,12.4,r,TX000038507,Turkmenistan,TURKMEN-BASHI
TX000038507,"TURKMEN BASHI, TX",40.05,53.0,82.0,1938,1385.1,,1385.1,r,42.0,r,16.0,r,0.0,r,17.0,r,1.0,r,187.0,r,73.0,r,-6.8,"r,1220, ",8.2," ,r,1208, ",41.4,"r,0712, ",-1.1,"r,1116",-0.9,"r,0320",-2.8,"r,0304",1802.6,6.0,1802.6,r,93.3," ,r",17.1,r,20.9,r,13.2,r,TX000038507,Turkmenistan,TURKMEN-BASHI
TX000038507,"TURKMEN BASHI, TX",40.05,53.0,82.0,1939,1287.4,,1287.4,r,29.0,r,13.0,r,0.0,r,13.0,r,1.0,r,175.0,r,68.0,r,-7.9,"r,0228, ",8.5," ,r,1108, ",39.3,"r,0808, ",,,-0.6,"r,0303",-3.4,"r,0302",1906.0,0.0,1906.0,r,74.0," ,r",16.8,r,20.4,r,13.1,r,TX000038507,Turkmenistan,TURKMEN-BASHI
TX000038507,"TURKMEN BASHI, TX",40.05,53.0,82.0,1940,1336.7,,1336.7,r,34.0,r,14.0,r,0.0,r,25.0,r,2.0,r,170.0,r,70.0,r,-10.6,"r,0112, ",12.1," ,r,0201, ",42.6,"r,0806, ",-0.9,"r,1220",-3.0,"r,0301",-3.0,"r,0301",1956.1,1.0,1956.1,r,91.0," ,r",16.8,r,20.4,r,13.1,r,TX000038507,Turkmenistan,TURKMEN-BASHI
TX000038507,"TURKMEN BASHI, TX",40.05,53.0,82.0,1941,1290.3,,1290.3,r,34.0,r,11.0,r,0.0,r,27.0,r,5.0,r,174.0,r,69.0,r,-9.1,"r,0116, ",9.3," ,r,0418, ",40.2,"r,0720, ",-1.4,"r,1115",-0.2,"r,0317",-3.4,"r,0119",1658.2,2.0,1658.2,r,75.2," ,r",16.9,r,20.5,r,13.3,r,TX000038507,Turkmenistan,TURKMEN-BASHI
TX000038507,"TURKMEN BASHI, TX",40.05,53.0,82.0,1942,,,,,44.0,r,13.0,r,,,,,4.0,r,180.0,r,54.0,r,,,14.1," ,r,0105, ",40.5,"r,0719, ",,,,,,,2092.9,9.0,2092.9,r,103.9," ,r",,,19.7,r,,,TX000038507,Turkmenistan,TURKMEN-BASHI
TX000038507,"TURKMEN BASHI, TX",40.05,53.0,82.0,1943,,,,,34.0,r,12.0,r,,,,,3.0,r,171.0,r,65.0,r,,,24.9," ,r,0527, ",41.8,"r,0726, ",,,,,,,,,,,118.7," ,r",,,19.3,r,,,TX000038507,Turkmenistan,TURKMEN-BASHI
TX000038507,"TURKMEN BASHI, TX",40.05,53.0,82.0,1944,,,,,22.0,r,7.0,r,,,,,8.0,r,170.0,r,56.0,r,,,12.2," ,r,0120, ",39.7,"r,0715, ",,,,,,,,,,,64.4," ,r",,,20.4,r,,,TX000038507,Turkmenistan,TURKMEN-BASHI
TX000038507,"TURKMEN BASHI, TX",40.05,53.0,82.0,1945,,,,,30.0,r,11.0,r,,,,,,,,,,,,,11.3," ,r,1118, ",,,,,,,,,,,,,86.3," ,r",,,,,,,TX000038507,Turkmenistan,TURKMEN-BASHI
TX000038507,"TURKMEN BASHI, TX",40.05,53.0,82.0,1947,,,,,28.0,r,9.0,r,,,,,1.0,r,173.0,r,49.0,r,,,7.5," ,r,0319, ",40.7,"r,0719, ",,,,,,,,,,,56.1," ,r",,,20.3,r,,,TX000038507,Turkmenistan,TURKMEN-BASHI
