STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
UPM00033377,"LUBNY, UP",50.02,33.0,156.0,1936,316.3,,316.3,r,114,r,59,r,3.0,r,130.0,r,60.0,r,104.0,r,15.0,r,-19.6,"r,0217, ",44.3," ,r,1008, ",36.2,"r,0730,+",-0.2,"r,1004",-0.5,"r,0411",-5.3,"r,0409",,,,,604.9," ,r",8.3,r,12.4,r,4.3,r,UPM00033377,Ukraine,LUBNY
UPM00033377,"LUBNY, UP",50.02,33.0,156.0,1937,247.8,,247.8,r,122,r,61,r,11.0,r,123.0,r,60.0,r,126.0,r,1.0,r,-23.4,"r,0131, ",83.2," ,r,0808, ",32.3,"r,0723, ",-1.5,"r,1014",-0.4,"r,0412",-2.3,"r,0401",4196.0,0.0,4196.0,r,629.7," ,r",8.3,r,12.3,r,4.2,r,UPM00033377,Ukraine,LUBNY
UPM00033377,"LUBNY, UP",50.02,33.0,156.0,1938,410.4,,410.4,r,121,r,38,r,9.0,r,123.0,r,65.0,r,123.0,r,16.0,r,-20.2,"r,1220, ",54.1," ,r,0725, ",34.8,"r,0630, ",-0.6,"r,1108",-0.4,"r,0506",-3.2,"r,0413",3843.7,7.0,3843.7,r,366.5," ,r",8.6,r,12.8,r,4.4,r,UPM00033377,Ukraine,LUBNY
UPM00033377,"LUBNY, UP",50.02,33.0,156.0,1939,337.6,,337.6,r,131,r,56,r,2.0,r,141.0,r,60.0,r,123.0,r,6.0,r,-22.7,"r,1229, ",37.0," ,r,0716, ",33.2,"r,0711, ",-0.8,"r,0925",-1.8,"r,0414",-3.1,"r,0412",3755.8,8.0,3755.8,r,508.1," ,r",8.4,r,12.7,r,4.1,r,UPM00033377,Ukraine,LUBNY
UPM00033377,"LUBNY, UP",50.02,33.0,156.0,1940,161.5,,161.5,r,135,r,60,r,12.0,r,142.0,r,90.0,r,100.0,r,0.0,r,-32.0,"r,0111, ",40.0," ,r,0701, ",31.6,"r,0814, ",-1.6,"r,1013",-2.2,"r,0430",-2.2,"r,0430",4646.1,1.0,4646.1,r,619.9," ,r",6.0,r,10.1,r,1.9,r,UPM00033377,Ukraine,LUBNY
UPM00033377,"LUBNY, UP",50.02,33.0,156.0,1941,,,,,157,E,78,E,,,,,,,,,,,,,31.0," ,E,0902, ",,,,,,,,,4469.9,9.0,4469.9,r,716.5," ,E",,,,,,,UPM00033377,Ukraine,LUBNY
UPM00033377,"LUBNY, UP",50.02,33.0,156.0,1942,125.5,,125.5,r,97,r,47,r,33.0,r,162.0,r,103.0,r,99.0,r,0.0,r,-30.8,"r,0123, ",19.7," ,r,0714, ",31.9,"r,0808, ",-1.3,"r,1018",-1.3,"r,0429",-4.5,"r,0408",,,,,405.6," ,r",4.7,r,9.3,r,0.1,r,UPM00033377,Ukraine,LUBNY
UPM00033377,"LUBNY, UP",50.02,33.0,156.0,1944,163.3,,163.3,r,120,r,56,r,1.0,r,135.0,r,59.0,r,109.0,r,2.0,r,-19.5,"r,0117, ",24.9," ,r,0803, ",33.0,"r,0909, ",-1.8,"r,1028",-0.8,"r,0502",-2.4,"r,0409",,,,,462.7," ,r",8.0,r,12.1,r,3.8,r,UPM00033377,Ukraine,LUBNY
UPM00033377,"LUBNY, UP",50.02,33.0,156.0,1945,110.5,,110.5,r,127,r,55,r,12.0,r,151.0,r,84.0,r,93.0,r,0.0,r,-26.6,"r,0223, ",48.8," ,r,0821, ",31.9,"r,0729, ",-0.1,"r,1009",-0.5,"r,0421",-2.4,"r,0420",4337.0,0.0,4337.0,r,492.5," ,r",5.9,r,10.3,r,1.6,r,UPM00033377,Ukraine,LUBNY
UPM00033377,"LUBNY, UP",50.02,33.0,156.0,1946,374.9,,374.9,r,104,r,43,r,3.0,r,157.0,r,91.0,r,127.0,r,19.0,r,-21.3,"r,1218, ",20.7," ,r,1118, ",37.6,"r,0820, ",-0.5,"r,1013",-2.7,"r,0417",-2.7,"r,0417",4211.2,2.0,4211.2,r,366.4," ,r",7.6,r,11.9,r,3.2,r,UPM00033377,Ukraine,LUBNY
UPM00033377,"LUBNY, UP",50.02,33.0,156.0,1947,252.7,,252.7,r,138,r,71,r,16.0,r,135.0,r,77.0,r,107.0,r,5.0,r,-26.3,"r,0104, ",61.2," ,r,0812, ",35.5,"r,0709, ",-1.8,"r,1004",-1.3,"r,0413",-10.3,"r,0317",4545.8,8.0,4545.8,r,637.5," ,r",7.1,r,11.4,r,2.9,r,UPM00033377,Ukraine,LUBNY
UPM00033377,"LUBNY, UP",50.02,33.0,156.0,1948,193.1,,193.1,r,112,r,46,r,3.0,r,141.0,r,72.0,r,114.0,r,4.0,r,-23.4,"r,1226, ",51.2," ,r,0708, ",32.7,"r,0813, ",-0.8,"r,1010",-1.8,"r,0428",-3.3,"r,0426",3972.0,0.0,3972.0,r,523.0," ,r",7.6,r,11.8,r,3.4,r,UPM00033377,Ukraine,LUBNY
UPM00033377,"LUBNY, UP",50.02,33.0,156.0,1949,164.1,,164.1,r,123,r,55,r,2.0,r,146.0,r,49.0,r,101.0,r,0.0,r,-19.6,"r,1231, ",48.6," ,r,0903, ",30.7,"r,0521, ",-0.7,"r,1007",-0.9,"r,0418",-2.2,"r,0417",4180.7,7.0,4180.7,r,563.7," ,r",8.0,r,12.1,r,3.8,r,UPM00033377,Ukraine,LUBNY
UPM00033377,"LUBNY, UP",50.02,33.0,156.0,1950,75.9,,75.9,r,137,r,64,r,27.0,r,128.0,r,54.0,r,101.0,r,0.0,r,-32.1,"r,0111, ",28.5," ,r,0607, ",28.8,"r,0527, ",-2.3,"r,1025",-1.3,"r,0401",-2.5,"r,0321",4047.9,9.0,4047.9,r,555.5," ,r",7.1,r,11.2,r,3.1,r,UPM00033377,Ukraine,LUBNY
UPM00033377,"LUBNY, UP",50.02,33.0,156.0,1951,251.6,,251.6,r,104,r,50,r,8.0,r,137.0,r,75.0,r,112.0,r,9.0,r,-22.1,"r,0126, ",21.4," ,r,0326, ",35.3,"r,0810,+",-1.7,"r,1005",-1.1,"r,0324",-3.5,"r,0323",4122.5,5.0,4122.5,r,426.3," ,r",7.5,r,11.6,r,3.3,r,UPM00033377,Ukraine,LUBNY
UPM00033377,"LUBNY, UP",50.02,33.0,156.0,1952,192.2,,192.2,r,151,r,74,r,4.0,r,147.0,r,79.0,r,107.0,r,6.0,r,-19.3,"r,0229, ",34.3," ,r,0614, ",33.3,"r,0816, ",-0.7,"r,0917",-0.9,"r,0509",-2.5,"r,0410",4300.5,5.0,4300.5,r,724.7," ,r",7.2,r,11.3,r,3.2,r,UPM00033377,Ukraine,LUBNY
UPM00033377,"LUBNY, UP",50.02,33.0,156.0,1953,261.5,,261.5,r,104,r,49,r,9.0,r,148.0,r,90.0,r,109.0,r,1.0,r,-24.6,"r,0205, ",35.9," ,r,0715, ",33.2,"r,0731, ",-0.3,"r,1011",-0.2,"r,0415",-9.3,"r,0322",4257.8,8.0,4257.8,r,438.7," ,r",6.8,r,11.1,r,2.4,r,UPM00033377,Ukraine,LUBNY
UPM00033377,"LUBNY, UP",50.02,33.0,156.0,1954,387.9,,387.9,r,105,r,42,r,36.0,r,151.0,r,94.0,r,119.0,r,19.0,r,-27.5,"r,0202,+",27.2," ,r,0829, ",35.6,"r,0817, ",-0.8,"r,1007",-0.2,"r,0429",-2.6,"r,0424",4852.8,8.0,4852.8,r,472.3," ,r",6.8,r,11.1,r,2.4,r,UPM00033377,Ukraine,LUBNY
