STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
AE000041196,"SHARJAH INTER. AIRP, AE",25.333,55.517,34.0,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.8,8.0,78.8,I,,,,,,,,,AE000041196,United Arab Emirates,SHARJAH INTER. AIRP
AE000041196,"SHARJAH INTER. AIRP, AE",25.333,55.517,34.0,1955,2750.3,,2750.3,I,,,,,0.0,I,0.0,I,0.0,I,361.0,I,188.0,I,9.4,"I,0206, ",,,45.0,"I,0821, ",,,,,,,,,,,,,26.0,I,31.8,I,20.3,I,AE000041196,United Arab Emirates,SHARJAH INTER. AIRP
AE000041196,"SHARJAH INTER. AIRP, AE",25.333,55.517,34.0,1956,,,,,,,,,,,,,0.0,I,364.0,I,178.0,I,,,,,45.0,"I,0709, ",,,,,,,,,,,,,,,31.8,I,,,AE000041196,United Arab Emirates,SHARJAH INTER. AIRP
AE000041196,"SHARJAH INTER. AIRP, AE",25.333,55.517,34.0,1957,2633.5,,2633.5,I,,,,,0.0,I,0.0,I,0.0,I,343.0,I,172.0,I,7.8,"I,0115,+",,,43.3,"I,0911,+",,,,,,,50.3,3.0,50.3,I,,,25.7,I,31.1,I,20.2,I,AE000041196,United Arab Emirates,SHARJAH INTER. AIRP
AE000041196,"SHARJAH INTER. AIRP, AE",25.333,55.517,34.0,1958,2814.6,,2814.6,I,,,,,0.0,I,0.0,I,0.0,I,357.0,I,197.0,I,9.4,"I,0102,+",,,43.9,"I,0827,+",,,,,,,41.7,7.0,41.7,I,,,26.0,I,31.8,I,20.3,I,AE000041196,United Arab Emirates,SHARJAH INTER. AIRP
AE000041196,"SHARJAH INTER. AIRP, AE",25.333,55.517,34.0,1960,2779.1,,2779.1,I,,,,,0.0,I,0.0,I,0.0,I,363.0,I,189.0,I,9.4,"I,0205, ",,,43.9,"I,0716, ",,,,,,,,,,,,,25.9,I,31.7,I,20.1,I,AE000041196,United Arab Emirates,SHARJAH INTER. AIRP
AE000041196,"SHARJAH INTER. AIRP, AE",25.333,55.517,34.0,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,1.0,16.1, ,,,,,,,,,AE000041196,United Arab Emirates,SHARJAH INTER. AIRP
AE000041196,"SHARJAH INTER. AIRP, AE",25.333,55.517,34.0,1979,,,,,,,,,,,,,0.0,I,328.0,I,207.0,I,,,,,48.0,"I,0609, ",,,,,,,,,,,,,,,35.0,I,,,AE000041196,United Arab Emirates,SHARJAH INTER. AIRP
AE000041196,"SHARJAH INTER. AIRP, AE",25.333,55.517,34.0,1980,,,,,,,,,,,,,0.0,I,332.0,I,209.0,I,,,,,48.0,"I,0706,+",,,,,,,,,,,,,,,34.8,I,,,AE000041196,United Arab Emirates,SHARJAH INTER. AIRP
AE000041196,"SHARJAH INTER. AIRP, AE",25.333,55.517,34.0,1987,,,,,,,,,,,,,0.0,I,327.0,I,198.0,I,,,,,46.1,"I,0810,+",,,,,,,,,,,,,,,34.1,I,,,AE000041196,United Arab Emirates,SHARJAH INTER. AIRP
AE000041196,"SHARJAH INTER. AIRP, AE",25.333,55.517,34.0,2012,,,,,,,,,,,,,0.0,S,346.0,S,226.0,S,,,,,49.3,"S,0725, ",,,,,,,,,,,,,,,35.6,S,,,AE000041196,United Arab Emirates,SHARJAH INTER. AIRP
AE000041196,"SHARJAH INTER. AIRP, AE",25.333,55.517,34.0,2023,,,,,10.0,S,8.0,S,,,,,,,,,,,,,26.9," ,S,0127, ",,,,,,,,,,,,,86.9," ,S",,,,,,,AE000041196,United Arab Emirates,SHARJAH INTER. AIRP
