STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1874,0.0,,0.0,G,,,,,0.0,G,60.0,G,2,G,2,G,0,G,-6.7,"G,1223, ",,,22.2,"G,0718, ",-1.7,"G,1111",0.0,"G,0423",-3.3,"G,0312",3809.6,6.0,3809.6,G,,,7.4,G,10.6,G,4.3,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1875,0.0,,0.0,G,,,,,0.0,G,64.0,G,0,G,1,G,0,G,-6.1,"G,1207, ",,,21.7,"G,0720, ",0.0,"G,0903",0.0,"G,0423",-3.3,"G,0306",3813.0,0.0,3813.0,G,,,7.6,G,10.9,G,4.4,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1876,0.3,,0.3,G,,,,,0.0,G,68.0,G,0,G,10,G,0,G,-6.7,"G,0220, ",,,23.3,"G,0818,+",-1.7,"G,1108",-2.8,"G,0502",-2.8,"G,0502",3891.0,0.0,3891.0,G,,,7.5,G,10.4,G,4.6,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1877,0.0,,0.0,G,,,,,0.0,G,84.0,G,0,G,3,G,0,G,-9.4,"G,0103, ",,,21.1,"G,0617,+",-1.1,"G,1016",-1.7,"G,0508",-2.8,"G,0505",3869.0,0.0,3869.0,G,,,6.8,G,9.9,G,3.7,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1878,0.0,,0.0,G,,,,,0.0,G,67.0,G,0,G,3,G,0,G,-5.6,"G,1224,+",,,21.1,"G,0724,+",0.0,"G,1029",0.0,"G,0521",-2.2,"G,0401",3895.4,4.0,3895.4,G,,,7.8,G,10.5,G,5.1,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1879,0.0,,0.0,G,,,,,0.0,G,65.0,G,3,G,0,G,0,G,-8.3,"G,1218, ",,,17.8,"G,0813,+",0.0,"G,1005",-1.1,"G,0509",-3.9,"G,0315",4080.5,5.0,4080.5,G,,,6.6,G,9.1,G,4.1,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1881,0.0,,0.0,G,,,,,0.0,G,74.0,G,9,G,1,G,0,G,-11.7,"G,0117, ",,,21.1,"G,0528, ",-1.1,"G,1016",0.0,"G,0421",-2.2,"G,0409",3969.9,9.0,3969.9,G,,,7.0,G,9.9,G,4.0,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1882,0.0,,0.0,G,,,,,0.0,G,44.0,G,0,G,1,G,0,G,-6.1,"G,1209, ",,,22.2,"G,0519, ",0.0,"G,1026",-1.1,"G,0501",-3.3,"G,0416",3708.5,5.0,3708.5,G,,,7.9,G,10.7,G,5.1,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1884,0.0,,0.0,G,,,,,0.0,G,38.0,G,0,G,7,G,0,G,-6.1,"G,0126, ",,,21.7,"G,0809,+",0.0,"G,1029",0.0,"G,0427",-2.2,"G,0202",3852.0,0.0,3852.0,G,,,8.0,G,11.0,G,5.1,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1885,0.0,,0.0,G,,,,,0.0,G,64.0,G,0,G,0,G,0,G,-6.7,"G,0216, ",,,20.0,"G,0731,+",0.0,"G,0927",-1.7,"G,0510",-2.2,"G,0321",3833.0,0.0,3833.0,G,,,7.0,G,10.0,G,4.1,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1886,0.0,,0.0,G,,,,,0.0,G,74.0,G,1,G,1,G,0,G,-6.7,"G,0118, ",,,23.9,"G,0721, ",-0.6,"G,1105",0.0,"G,0531",-4.4,"G,0314",4067.5,5.0,4067.5,G,,,7.1,G,10.2,G,3.9,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1887,0.0,,0.0,G,,,,,0.0,G,66.0,G,0,G,3,G,0,G,-4.4,"G,1211, ",,,21.1,"G,0826,+",-0.6,"G,1012",0.0,"G,0426",-3.9,"G,0316",3814.0,0.0,3814.0,G,,,7.6,G,10.6,G,4.5,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1888,0.0,,0.0,G,,,,,0.0,G,58.0,G,0,G,3,G,0,G,-6.7,"G,0215, ",,,23.9,"G,0626, ",-0.6,"G,1004",0.0,"G,0707",-2.8,"G,0327",4033.8,8.0,4033.8,G,,,7.2,G,10.1,G,4.2,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1889,0.0,,0.0,G,,,,,0.0,G,45.0,G,1,G,0,G,0,G,-6.7,"G,0211,+",,,20.6,"G,0731, ",-0.6,"G,1026",-1.1,"G,0411",-3.9,"G,0302",3685.0,0.0,3685.0,G,,,8.0,G,10.9,G,5.0,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1890,0.0,,0.0,G,,,,,0.0,G,46.0,G,0,G,1,G,0,G,-5.6,"G,0309,+",,,21.1,"G,0524, ",0.0,"G,1026",-2.2,"G,0414",-2.2,"G,0414",3639.9,9.0,3639.9,G,,,8.0,G,11.0,G,5.0,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1891,0.0,,0.0,G,,,,,0.0,G,69.0,G,2,G,2,G,0,G,-8.9,"G,0313,+",,,21.7,"G,0622, ",-3.9,"G,0830",-1.1,"G,0520",-2.2,"G,0412",3892.2,2.0,3892.2,G,,,7.4,G,10.5,G,4.3,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1892,0.0,,0.0,G,,,,,0.0,G,98.0,G,5,G,0,G,0,G,-11.1,"G,0220,+",,,20.0,"G,0608, ",0.0,"G,1018",-1.1,"G,0508",-3.3,"G,0419",4097.8,8.0,4097.8,G,,,6.5,G,9.7,G,3.3,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1893,0.3,,0.3,G,,,,,0.0,G,57.0,G,1,G,7,G,0,G,-6.7,"G,1202, ",,,24.4,"G,0618, ",-0.6,"G,1031",0.0,"G,0502",-3.9,"G,0318",3813.1,1.0,3813.1,G,,,8.1,G,11.3,G,5.0,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1894,5.3,,5.3,G,,,,,0.0,G,48.0,G,0,G,7,G,0,G,-5.6,"G,0215, ",,,24.4,"G,0702, ",-1.1,"G,1023",-1.1,"G,0522",-5.6,"G,0215",3716.0,0.0,3716.0,G,,,8.0,G,11.0,G,5.0,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1895,0.0,,0.0,G,,,,,0.0,G,81.0,G,3,G,7,G,0,G,-14.4,"G,1127, ",,,23.3,"G,0602, ",-0.6,"G,1004",0.0,"G,0408",-3.9,"G,0314",3780.2,2.0,3780.2,G,,,7.4,G,10.8,G,4.1,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1896,0.0,,0.0,G,,,,,0.0,G,37.0,G,0,G,2,G,0,G,-5.6,"G,0314, ",,,22.2,"G,0511, ",-1.1,"G,1011",0.0,"G,0329",-2.8,"G,0315",3584.7,7.0,3584.7,G,,,8.2,G,11.1,G,5.2,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1897,0.8,,0.8,G,,,,,0.0,G,62.0,G,1,G,11,G,0,G,-5.6,"G,0201,+",,,23.9,"G,0805,+",0.0,"G,1104",0.0,"G,0502",-2.2,"G,0403",4051.4,4.0,4051.4,G,,,7.6,G,10.8,G,4.5,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1898,0.0,,0.0,G,,,,,0.0,G,38.0,G,0,G,4,G,0,G,-3.3,"G,0221, ",,,22.2,"G,0904, ",-2.8,"G,1123",0.0,"G,0514",-2.8,"G,0309",3601.8,8.0,3601.8,G,,,8.0,G,11.3,G,4.8,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1899,0.9,,0.9,G,,,,,0.0,G,52.0,G,0,G,13,G,0,G,-5.6,"G,0324, ",,,23.9,"G,0824,+",0.0,"G,1203",-1.7,"G,0422",-2.8,"G,0418",3758.0,0.0,3758.0,G,,,8.2,G,11.5,G,4.8,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1900,0.0,,0.0,G,,,,,0.0,G,44.0,G,1,G,2,G,0,G,-7.8,"G,0318, ",,,23.3,"G,0613, ",0.0,"G,1016",0.0,"G,0407",-4.4,"G,0320",3619.1,1.0,3619.1,G,,,7.8,G,11.1,G,4.6,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
UK000003026,"STORNOWAY AIRPORT, UK",58.33,-6.32,9.0,1901,0.0,,0.0,G,,,,,0.0,G,64.0,G,0,G,9,G,0,G,-5.0,"G,0329, ",,,22.8,"G,0707, ",-0.6,"G,1022",0.0,"G,0416",-2.2,"G,0405",3774.9,9.0,3774.9,G,,,8.0,G,11.4,G,4.6,G,UK000003026,United Kingdom,STORNOWAY AIRPORT
