STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
USW00023183,"PHOENIX AIRPORT, AZ US",33.4278,-112.00365,339.2,1934,2041.2,,2041.2,6,29.0,6,17.0,6,0.0,6,21.0,6,0.0,6,313.0,6,194.0,6,-3.9,"6,1204,+",23.1," ,6,1213, ",47.2,"6,0710, ",0.0,"6,1126",0.0,"6,0122",-3.3,"6,0108",599.3,3.0,599.3,6,176.2," ,6",22.2,6,31.4,6,13.0,6,USW00023183,United States,PHOENIX AP
USW00023183,"PHOENIX AIRPORT, AZ US",33.4278,-112.00365,339.2,1938,1742.4,,1742.4,6,25.0,6,13.0,6,0.0,6,32.0,6,0.0,6,292.0,6,158.0,6,-3.9,"6,1125, ",19.3," ,6,0304, ",44.4,"6,0801,+",-1.7,"6,1112",-1.7,"6,0218",-3.3,"6,0125",,,,,127.5," ,6",20.5,6,29.4,6,11.5,6,USW00023183,United States,PHOENIX AP
USW00023183,"PHOENIX AIRPORT, AZ US",33.4278,-112.00365,339.2,1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034.5,5.0,1034.5, ,,,,,,,,,USW00023183,United States,PHOENIX AP
USW00023183,"PHOENIX AIRPORT, AZ US",33.4278,-112.00365,339.2,1941,1511.6,,1511.6,6,58.0,6,39.0,6,0.0,6,11.0,6,0.0,6,275.0,6,138.0,6,-2.2,"6,1225,+",25.7," ,6,0314, ",43.3,"6,0710,+",-0.6,"6,1119",-0.6,"6,0118",,,822.7,7.0,822.7,6,390.3," ,6",20.1,6,28.4,6,11.8,6,USW00023183,United States,PHOENIX AP
USW00023183,"PHOENIX AIRPORT, AZ US",33.4278,-112.00365,339.2,1942,1745.4,,1745.4,6,26.0,6,14.0,6,0.0,6,25.0,6,0.0,6,307.0,6,160.0,6,-3.9,"6,0104, ",20.1," ,6,0825, ",46.7,"6,0706, ",-0.6,"6,1121",-1.7,"6,0308",-2.8,"6,0215",950.9,9.0,950.9,6,124.0," ,6",20.7,6,30.2,6,11.3,6,USW00023183,United States,PHOENIX AP
USW00023183,"PHOENIX AIRPORT, AZ US",33.4278,-112.00365,339.2,1943,1940.6,,1940.6,6,33.0,6,14.0,6,0.0,6,15.0,6,0.0,6,307.0,6,178.0,6,-3.9,"6,0119, ",75.9," ,6,0803, ",46.7,"6,0725, ",0.0,"6,1128",-1.7,"6,0211",-2.2,"6,0120",665.7,7.0,665.7,6,229.5," ,6",21.6,6,30.6,6,12.6,6,USW00023183,United States,PHOENIX AP
USW00023183,"PHOENIX AIRPORT, AZ US",33.4278,-112.00365,339.2,1944,1705.0,,1705.0,6,38.0,6,24.0,6,0.0,6,31.0,6,0.0,6,275.0,6,158.0,6,-5.0,"6,1210, ",27.4," ,6,1224, ",45.0,"6,0804, ",0.0,"6,1125",0.0,"6,0329",-2.2,"6,0116",995.6,6.0,995.6,6,220.9," ,6",20.1,6,28.9,6,11.3,6,USW00023183,United States,PHOENIX AP
USW00023183,"PHOENIX AIRPORT, AZ US",33.4278,-112.00365,339.2,1948,2003.9,,2003.9,0,25.0,0,14.0,0,0.0,0,42.0,0,0.0,0,287.0,0,174.0,0,-5.6,"0,1205,+",16.0," ,0,0226, ",46.1,"0,0903,+",-2.2,"0,1109",-1.1,"X,0305",-2.2,"X,0215",,,,,105.5," ,0",21.0,0,30.1,0,11.8,0,USW00023183,United States,PHOENIX AP
USW00023183,"PHOENIX AIRPORT, AZ US",33.4278,-112.00365,339.2,1949,1931.9,,1931.9,0,39.0,0,17.0,0,0.0,0,34.0,0,0.0,0,285.0,0,171.0,0,-6.7,"0,0105,+",22.1," ,0,0913, ",45.0,"0,0714, ",-1.1,"0,1211",-1.7,"0,0216",-3.3,"0,0215",1137.5,5.0,1137.5,0,171.5," ,0",20.9,0,29.3,0,12.4,0,USW00023183,United States,PHOENIX AP
USW00023183,"PHOENIX AIRPORT, AZ US",33.4278,-112.00365,339.2,1950,2088.2,,2088.2,0,24.0,0,13.0,0,0.0,0,12.0,0,0.0,0,327.0,0,193.0,0,-8.3,"0,0105, ",18.5," ,0,0226, ",47.8,"0,0901, ",,,-0.6,"0,0201",-3.3,"0,0127",730.0,0.0,730.0,0,92.2," ,0",22.4,0,31.7,0,13.0,0,USW00023183,United States,PHOENIX AP
