STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1981,,,,,84.0,I,65.0,I,,,,,,,,,,,,,136.0," ,I,0507, ",,,,,,,,,,,,,1304.0," ,I",,,,,,,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1982,,,,,72.0,I,57.0,I,,,,,,,,,,,,,125.0," ,I,0212, ",,,,,,,,,,,,,1691.0," ,I",,,,,,,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1983,,,,,84.0,I,68.0,I,,,,,,,,,,,,,185.0," ,I,0215, ",,,,,,,,,,,,,1493.0," ,I",,,,,,,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1984,,,,,97.0,I,77.0,I,,,,,,,,,,,,,93.0," ,I,1102, ",,,,,,,,,,,,,1859.0," ,I",,,,,,,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1985,,,,,80.0,I,65.0,I,,,,,,,,,,,,,58.0," ,I,0519, ",,,,,,,,,,,,,1237.0," ,I",,,,,,,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1986,,,,,104.0,I,81.0,I,,,,,,,,,,,,,97.0," ,I,1031, ",,,,,,,,,,,,,2139.0," ,I",,,,,,,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1987,,,,,83.0,I,69.0,I,,,,,,,,,,,,,168.0," ,I,0325, ",,,,,,,,,,,,,1530.0," ,I",,,,,,,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1988,,,,,62.0,I,51.0,I,,,,,,,,,,,,,80.0," ,I,0119, ",,,,,,,,,,,,,1051.6," ,I",,,,,,,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1989,,,,,72.0,I,58.0,I,,,,,,,,,,,,,70.0," ,I,0410, ",,,,,,,,,,,,,942.0," ,I",,,,,,,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1990,,,,,114.0,I,84.0,I,,,,,,,,,,,,,214.0," ,I,1210, ",,,,,,,,,,,,,1837.0," ,I",,,,,,,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1991,,,,,85.0,I,61.0,I,,,,,,,,,,,,,183.0," ,I,0417, ",,,,,,,,,,,,,1729.0," ,I",,,,,,,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1992,,,,,96.0,I,80.0,I,,,,,,,,,,,,,156.0," ,I,0412, ",,,,,,,,,,,,,1779.6," ,I",,,,,,,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1993,,,,,95.0,I,81.0,I,,,,,,,,,,,,,157.0," ,I,0508, ",,,,,,,,,,,,,1816.0," ,I",,,,,,,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1994,,,,,83.0,I,65.0,I,,,,,,,,,,,,,115.0," ,I,1217, ",,,,,,,,,,,,,1166.0," ,I",,,,,,,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1995,,,,,85.0,I,60.0,I,,,,,,,,,,,,,94.0," ,I,1026, ",,,,,,,,,,,,,1034.0," ,I",,,,,,,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1996,,,,,83.0,I,61.0,I,,,,,,,,,,,,,142.0," ,I,0425, ",,,,,,,,,,,,,1356.0," ,I",,,,,,,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1997,,,,,102.0,I,80.0,I,0.0,G,5.0,G,0.0,G,273.0,G,50.0,G,-2.4,"G,0628, ",140.0," ,I,1220, ",38.4,"G,0106, ",-2.4,"G,0628",-0.1,"G,0805",,,527.0,0.0,527.0,G,1715.0," ,I",19.9,G,25.5,G,14.4,G,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1998,917.3,,917.3,G,100.0,I,83.0,I,0.0,G,0.0,G,0.0,G,253.0,G,26.0,G,0.4,"G,0625, ",132.0," ,I,0318, ",37.4,"G,0121, ",,,,,,,584.5,5.0,584.5,G,2262.0," ,I",18.9,G,24.3,G,13.5,G,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,1999,1035.6,,1035.6,G,80.0,I,47.0,I,0.0,G,5.0,G,0.0,G,263.0,G,70.0,G,-1.1,"G,0815, ",71.0," ,I,0403, ",41.0,"G,1227, ",0.0,"G,0604",-1.1,"G,0815",,,,,,,824.0," ,I",19.5,G,25.7,G,13.3,G,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,2000,,,,,,,,,0.0,G,10.0,G,0.0,G,258.0,G,51.0,G,-3.0,"G,0719, ",,,39.4,"G,0108, ",0.0,"G,0621",,,,,,,,,,,19.1,G,24.8,G,13.5,G,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,2001,,,,,,,,,0.0,G,2.0,G,0.0,G,276.0,G,48.0,G,-2.4,"G,0728, ",,,36.5,"G,0305,+",-0.4,"G,0621",,,,,497.9,9.0,497.9,G,,,20.3,G,25.5,G,15.0,G,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,2002,1149.0,,1149.0,G,,,,,0.0,G,7.0,G,0.0,G,270.0,G,47.0,G,-2.8,"G,0624, ",,,38.1,"G,0130, ",-0.6,"G,0613",,,,,600.6,6.0,600.6,G,,,19.8,G,25.2,G,14.4,G,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,2003,1044.6,,1044.6,G,,,,,0.0,G,7.0,G,0.0,G,271.0,G,44.0,G,-1.8,"G,0712,+",,,37.6,"G,0201, ",-1.7,"G,0710",-0.2,"G,0826",,,619.5,5.0,619.5,G,,,19.4,G,25.3,G,13.5,G,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,2004,,,,,76.0,S,51.0,S,0.0,S,5.0,S,,,,,,,-2.5,"S,0809, ",116.1," ,S,1110, ",,,-1.8,"S,0613",-2.5,"S,0809",-2.5,"S,0809",,,,,1017.3," ,S",,,,,13.2,S,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,2007,,,,,,,,,0.0,S,13.0,S,,,,,,,-3.8,"S,0711, ",,,,,-1.9,"S,0529",-1.8,"S,0811",,,,,,,,,,,,,13.1,S,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,2008,,,,,,,,,0.0,S,4.0,S,,,,,,,-4.0,"S,0617, ",,,,,-1.8,"S,0530",,,,,,,,,,,,,,,13.5,S,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,2010,,,,,,,,,0.0,S,5.0,S,,,,,,,-1.4,"S,0714, ",,,,,-1.0,"S,0713",,,,,,,,,,,,,,,13.1,S,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,2011,,,,,,,,,0.0,S,8.0,S,,,,,,,-4.2,"S,0704, ",,,,,-1.5,"S,0627",,,,,,,,,,,,,,,13.2,S,UY000086330,Uruguay,EST.MET.ARTIGAS
UY000086330,"EST.MET.ARTIGAS, UY",-30.4,-56.52,121.0,2012,,,,,,,,,0.0,S,8.0,S,,,,,,,-3.2,"S,0607, ",,,,,-1.0,"S,0606",,,,,,,,,,,,,,,14.0,S,UY000086330,Uruguay,EST.MET.ARTIGAS
