STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1937,,,,,26.0,r,8.0,r,,,,,,,,,,,,,14.4," ,r,0219, ",,,,,,,,,,,,,81.6," ,r",,,,,,,UZM00038262,Uzbekistan,CIMBAJ
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1938,622.8,,622.8,r,33.0,r,10.0,r,9.0,r,136.0,r,36.0,r,176.0,r,43.0,r,-26.3,"r,1219, ",23.5," ,r,0411, ",38.2,"r,0807, ",-1.3,"r,1020",-0.2,"r,0404",-3.3,"r,0328",,,,,100.2," ,r",11.1,r,17.7,r,4.5,r,UZM00038262,Uzbekistan,CIMBAJ
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1939,794.6,,794.6,r,32.0,r,13.0,r,11.0,r,142.0,r,34.0,r,170.0,r,67.0,r,-20.2,"r,0124, ",13.1," ,r,0326, ",40.0,"r,0810, ",-3.5,"r,1015",-3.3,"r,0418",-3.3,"r,0418",3551.4,4.0,3551.4,r,92.6," ,r",11.1,r,17.5,r,4.7,r,UZM00038262,Uzbekistan,CIMBAJ
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1940,834.8,,834.8,r,61.0,r,23.0,r,10.0,r,125.0,r,47.0,r,164.0,r,63.0,r,-28.0,"r,0113, ",16.0," ,r,0312, ",40.5,"r,0719, ",-2.6,"r,1007",-0.4,"r,0331",-3.4,"r,0329",3418.6,6.0,3418.6,r,213.9," ,r",11.6,r,17.9,r,5.4,r,UZM00038262,Uzbekistan,CIMBAJ
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1941,743.1,,743.1,r,46.0,r,17.0,r,9.0,r,114.0,r,28.0,r,177.0,r,66.0,r,-25.4,"r,0118, ",8.0," ,r,1002, ",40.2,"r,0622, ",-1.3,"r,1011",-1.7,"r,0408",-4.6,"r,0322",2942.7,7.0,2942.7,r,103.9," ,r",11.9,r,18.6,r,5.2,r,UZM00038262,Uzbekistan,CIMBAJ
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1942,680.5,,680.5,r,23.0,r,7.0,r,1.0,r,137.0,r,34.0,r,167.0,r,55.0,r,-20.0,"r,0206, ",23.2," ,r,0308, ",39.9,"r,0616, ",-0.7,"r,1005",-1.2,"r,0422",-2.5,"r,0406",3301.7,7.0,3301.7,r,78.5," ,r",10.9,r,17.7,r,4.1,r,UZM00038262,Uzbekistan,CIMBAJ
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1943,695.1,,695.1,r,36.0,r,10.0,r,13.0,r,158.0,r,59.0,r,171.0,r,66.0,r,-30.1,"r,0118, ",17.7," ,r,0225, ",41.3,"r,0728, ",-1.6,"r,1020",0.0,"r,0404",-5.2,"r,0401",3729.3,3.0,3729.3,r,79.6," ,r",9.6,r,16.4,r,2.8,r,UZM00038262,Uzbekistan,CIMBAJ
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1944,,,,,23.0,r,8.0,r,,,,,41.0,r,179.0,r,65.0,r,,,9.8," ,r,0410, ",40.1,"r,0709,+",,,,,,,2961.3,3.0,2961.3, ,56.3," ,r",,,18.6,r,,,UZM00038262,Uzbekistan,CIMBAJ
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1945,,,,,34.0,r,11.0,r,,,,,71.0,r,170.0,r,62.0,r,,,13.9," ,r,0504, ",39.9,"r,0714, ",,,,,,,,,,,96.5," ,r",,,16.0,r,,,UZM00038262,Uzbekistan,CIMBAJ
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1946,616.9,,616.9,r,30.0,r,8.0,r,12.0,r,142.0,r,40.0,r,183.0,r,39.0,r,-24.6,"r,1214, ",10.1," ,r,0814, ",37.7,"r,0717, ",-4.9,"r,1010",-2.1,"r,0419",-3.2,"r,0406",3132.5,5.0,3132.5,r,60.2," ,r",10.9,r,17.9,r,3.9,r,UZM00038262,Uzbekistan,CIMBAJ
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1947,533.9,,533.9,r,33.0,r,10.0,r,4.0,r,120.0,r,43.0,r,171.0,r,44.0,r,-22.8,"r,0205, ",10.0," ,r,0917, ",39.5,"r,0719, ",-0.8,"r,1013",-0.8,"r,0426",-3.4,"r,0318",3516.6,6.0,3516.6,r,68.9," ,r",10.9,r,18.0,r,3.9,r,UZM00038262,Uzbekistan,CIMBAJ
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1948,707.7,,707.7,r,26.0,r,9.0,r,8.0,r,153.0,r,35.0,r,166.0,r,67.0,r,-24.8,"r,1220, ",13.7," ,r,0424, ",41.8,"r,0710, ",-1.1,"r,1009",-1.5,"r,0416",-2.7,"r,0405",3157.8,8.0,3157.8,r,75.3," ,r",11.1,r,18.3,r,3.9,r,UZM00038262,Uzbekistan,CIMBAJ
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1949,670.7,,670.7,r,25.0,r,11.0,r,11.0,r,167.0,r,54.0,r,153.0,r,53.0,r,-22.7,"r,0213,+",24.0," ,r,0408, ",39.4,"r,0717, ",-4.9,"r,1013",-0.8,"r,0407",-3.7,"r,0330",3781.1,1.0,3781.1,r,106.1," ,r",9.3,r,15.7,r,2.8,r,UZM00038262,Uzbekistan,CIMBAJ
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1950,623.8,,623.8,r,32.0,r,9.0,r,40.0,r,160.0,r,79.0,r,178.0,r,46.0,r,-27.6,"r,0128, ",5.1," ,r,0517, ",38.4,"r,0625, ",-0.6,"r,1006",-1.1,"r,0418",-4.4,"r,0416",3872.6,6.0,3872.6,r,55.8," ,r",8.8,r,16.0,r,1.6,r,UZM00038262,Uzbekistan,CIMBAJ
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1951,611.5,,611.5,r,35.0,r,10.0,r,28.0,r,145.0,r,58.0,r,174.0,r,50.0,r,-30.3,"r,0131, ",10.5," ,r,1011, ",39.5,"r,0730, ",-0.4,"r,1027",0.0,"r,0412",-3.1,"r,0326",4167.9,9.0,4167.9,r,82.7," ,r",9.6,r,16.6,r,2.5,r,UZM00038262,Uzbekistan,CIMBAJ
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1952,765.4,,765.4,r,39.0,r,14.0,r,14.0,r,145.0,r,58.0,r,175.0,r,62.0,r,-21.2,"r,1212, ",14.9," ,r,0510, ",40.1,"r,0711, ",-4.0,"r,1018",-4.2,"r,0409",-4.2,"r,0409",3379.0,0.0,3379.0,r,101.3," ,r",10.4,r,16.9,r,3.9,r,UZM00038262,Uzbekistan,CIMBAJ
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1953,718.0,,718.0,r,38.0,r,8.0,r,2.0,r,141.0,r,35.0,r,162.0,r,58.0,r,-19.7,"r,1229, ",9.6," ,r,0508, ",39.4,"r,0630, ",-0.3,"r,1006",-2.6,"r,0409",-2.6,"r,0409",3413.1,1.0,3413.1,r,75.4," ,r",11.2,r,17.6,r,4.9,r,UZM00038262,Uzbekistan,CIMBAJ
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1954,642.2,,642.2,r,20.0,r,7.0,r,22.0,r,144.0,r,63.0,r,177.0,r,51.0,r,-22.6,"r,0304, ",21.9," ,r,0209, ",37.2,"r,0726, ",-0.2,"r,1003",-0.4,"r,0408",-3.4,"r,0406",3941.9,9.0,3941.9,r,60.9," ,r",9.8,r,16.5,r,3.1,r,UZM00038262,Uzbekistan,CIMBAJ
UZM00038262,"CIMBAJ, UZ",42.95,59.8167,66.0,1955,801.8,,801.8,r,30.0,r,7.0,r,3.0,r,133.0,r,20.0,r,178.0,r,65.0,r,-25.5,"r,0110, ",10.2," ,r,0611, ",41.4,"r,0807, ",-1.4,"r,1001",-1.0,"r,0418",-4.0,"r,0417",3179.4,4.0,3179.4,r,54.9," ,r",12.1,r,19.1,r,5.0,r,UZM00038262,Uzbekistan,CIMBAJ
