STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1881,,,,,64.0,r,38.0,r,,,,,,,,,,,,,43.1," ,r,0208, ",,,,,,,,,,,,,394.1," ,r",,,,,,,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1882,,,,,45.0,r,33.0,r,,,,,20.0,r,174.0,r,75.0,r,,,29.5," ,r,1017, ",41.3,"r,0811,+",,,,,,,,,,,302.4," ,r",,,19.9,r,,,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1883,,,,,50.0,r,38.0,r,,,,,,,,,,,,,25.2," ,r,0408, ",,,,,,,,,,,,,260.9," ,r",,,,,,,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1884,,,,,54.0,r,39.0,r,,,,,,,,,,,,,29.5," ,r,0108, ",,,,,,,,,,,,,343.7," ,r",,,,,,,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1887,,,,,51.0,r,29.0,r,,,,,,,,,,,,,22.1," ,r,0221, ",,,,,,,,,,,,,255.1," ,r",,,,,,,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1888,,,,,70.0,r,41.0,r,,,,,,,,,,,,,28.7," ,r,0413, ",,,,,,,,,,,,,410.3," ,r",,,,,,,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1889,,,,,69.0,r,35.0,r,,,,,,,,,,,,,30.0," ,r,0305, ",,,,,,,,,,,,,343.7," ,r",,,,,,,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1890,,,,,53.0,r,23.0,r,,,,,,,,,,,,,38.4," ,r,0421, ",,,,,,,,,,,,,266.4," ,r",,,,,,,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1891,,,,,68.0,r,39.0,r,,,,,,,,,,,,,21.0," ,r,1103, ",,,,,,,,,,,,,368.5," ,r",,,,,,,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1892,,,,,72.0,r,41.0,r,,,,,,,,,,,,,26.0," ,r,1009, ",,,,,,,,,,,,,399.3," ,r",,,,,,,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1893,931.0,,931.0,r,63.0,r,39.0,r,8.0,r,91.0,r,14.0,r,188.0,r,90.0,r,-25.3,"r,0106, ",28.0," ,r,0316, ",42.1,"r,0618, ",-0.1,"r,1003",-0.6,"r,0404",-2.4,"r,0306",,,,,388.8," ,r",13.8,r,20.8,r,6.9,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1894,859.8,,859.8,r,57.0,r,32.0,r,6.0,r,86.0,r,23.0,r,184.0,r,87.0,r,-24.8,"r,1212, ",19.0," ,r,0315, ",41.5,"r,0710, ",-2.4,"r,1010",-0.3,"r,0425",-2.4,"r,0301",2413.1,1.0,2413.1,r,279.4," ,r",13.4,r,20.3,r,6.4,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1895,795.3,,795.3,r,68.0,r,41.0,r,7.0,r,77.0,r,16.0,r,199.0,r,73.0,r,-24.0,"r,0110, ",50.0," ,r,0528, ",41.8,"r,0705, ",-0.5,"r,1004",-1.7,"r,0217",-2.3,"r,0214",2387.1,1.0,2387.1,r,397.8," ,r",14.2,r,21.1,r,7.3,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1896,781.0,,781.0,r,75.0,r,48.0,r,2.0,r,58.0,r,7.0,r,176.0,r,82.0,r,-18.4,"r,0201,+",26.5," ,r,0411, ",39.0,"r,0723, ",-0.9,"r,1108",-0.5,"r,0318",-7.1,"r,0212",2246.4,4.0,2246.4,r,501.5," ,r",13.9,r,20.5,r,7.4,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1897,820.6,,820.6,r,80.0,r,38.0,r,3.0,r,82.0,r,20.0,r,181.0,r,87.0,r,-23.5,"r,0115, ",28.2," ,r,0417, ",41.0,"r,0729, ",0.0,"r,1009",-2.0,"r,0323",-5.2,"r,0322",2804.2,2.0,2804.2,r,339.7," ,r",13.4,r,20.4,r,6.5,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1898,,,,,69.0,r,40.0,r,,,,,,,,,,,,,33.1," ,r,0328, ",,,,,,,,,,,,,380.8," ,r",,,,,,,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1899,895.7,,895.7,r,71.0,r,42.0,r,0.0,r,75.0,r,16.0,r,202.0,r,99.0,r,-14.8,"r,1223, ",28.6," ,r,0402, ",42.7,"r,0620, ",-1.1,"r,1026",-0.2,"r,0422",-3.4,"r,0306",2218.8,8.0,2218.8,r,360.4," ,r",14.6,r,21.9,r,7.4,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1900,898.6,,898.6,r,84.0,r,39.0,r,16.0,r,95.0,r,26.0,r,190.0,r,84.0,r,-28.0,"r,0123, ",27.9," ,r,0412, ",40.8,"r,0707, ",-1.3,"r,1027",-1.7,"r,0416",-3.6,"r,0227",2888.7,7.0,2888.7,r,371.6," ,r",13.2,r,19.9,r,6.4,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1901,727.6,,727.6,r,75.0,r,46.0,r,2.0,r,76.0,r,5.0,r,174.0,r,70.0,r,-21.1,"r,0113, ",29.0," ,r,1027, ",39.5,"r,0713, ",-2.3,"r,1019",-2.3,"r,0318",-2.3,"r,0318",2298.5,5.0,2298.5,r,464.3," ,r",13.7,r,20.6,r,6.9,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1902,848.6,,848.6,r,79.0,r,48.0,r,0.0,r,63.0,r,5.0,r,180.0,r,78.0,r,-16.8,"r,0128, ",29.8," ,r,1127, ",41.0,"r,0630,+",-0.5,"r,1009",-0.6,"r,0323",-6.4,"r,0320",2325.3,3.0,2325.3,r,486.5," ,r",14.3,r,21.1,r,7.5,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1903,754.2,,754.2,r,63.0,r,38.0,r,0.0,r,106.0,r,10.0,r,182.0,r,71.0,r,-16.7,"r,0125, ",26.1," ,r,0221, ",39.6,"r,0730, ",-4.8,"r,1103",-2.4,"r,0410",-2.4,"r,0410",2618.6,6.0,2618.6,r,325.0," ,r",13.0,r,19.7,r,6.4,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1904,792.8,,792.8,r,66.0,r,31.0,r,7.0,r,75.0,r,14.0,r,175.0,r,80.0,r,-25.7,"r,0113, ",24.0," ,r,0401, ",42.2,"r,0714, ",-1.6,"r,1019",-1.5,"r,0309",-4.9,"r,0308",2598.9,9.0,2598.9,r,313.5," ,r",13.6,r,20.7,r,6.6,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1905,793.0,,793.0,r,67.0,r,36.0,r,5.0,r,95.0,r,12.0,r,194.0,r,62.0,r,-22.4,"r,0122, ",25.4," ,r,1204, ",38.6,"r,0612, ",0.0,"r,1104",-1.2,"r,0413",-2.9,"r,0331",2722.4,4.0,2722.4,r,320.2," ,r",13.2,r,19.9,r,6.5,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1906,841.2,,841.2,r,67.0,r,39.0,r,3.0,r,90.0,r,12.0,r,189.0,r,74.0,r,-20.3,"r,0107, ",24.7," ,r,0701, ",40.6,"r,0813, ",-2.6,"r,1028",-1.2,"r,0417",-2.6,"r,0324",2447.0,0.0,2447.0,r,317.2," ,r",13.7,r,20.4,r,7.0,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1907,682.1,,682.1,r,84.0,r,47.0,r,2.0,r,87.0,r,18.0,r,177.0,r,62.0,r,-19.5,"r,0127,+",23.9," ,r,0305, ",39.3,"r,0727, ",-0.2,"r,1019",-0.6,"r,0315",-3.1,"r,0309",2385.9,9.0,2385.9,r,396.3," ,r",12.8,r,19.1,r,6.6,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1908,764.8,,764.8,r,74.0,r,47.0,r,0.0,r,89.0,r,10.0,r,177.0,r,70.0,r,-17.2,"r,0108, ",24.7," ,r,0516, ",40.1,"r,0706, ",-2.1,"r,1010",-3.2,"r,0310",-3.2,"r,0310",2640.3,3.0,2640.3,r,429.9," ,r",13.6,r,20.1,r,7.0,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1909,809.6,,809.6,r,48.0,r,26.0,r,4.0,r,75.0,r,8.0,r,202.0,r,66.0,r,-23.9,"r,0103, ",18.9," ,r,0107, ",39.6,"r,0801, ",-1.9,"r,1024",-1.8,"r,0322",-2.6,"r,0227",2426.5,5.0,2426.5,r,230.8," ,r",14.4,r,21.3,r,7.6,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2099.6,6.0,2099.6,r,,,,,,,,,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1911,802.4,,802.4,r,67.0,r,41.0,r,0.0,r,104.0,r,16.0,r,167.0,r,77.0,r,-16.1,"r,0218, ",41.3," ,r,0507, ",38.8,"r,0623, ",-4.4,"r,1003",-1.6,"r,0403",-4.0,"r,0402",,,,,385.2," ,r",12.9,r,19.4,r,6.4,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1912,715.0,,715.0,r,50.0,r,34.0,r,0.0,r,91.0,r,7.0,r,201.0,r,63.0,r,-12.3,"r,1225, ",29.4," ,r,0322, ",42.6,"r,0707, ",-0.7,"r,1009",-0.2,"r,0326",-3.0,"r,0312",2621.7,7.0,2621.7,r,281.7," ,r",13.9,r,20.8,r,6.9,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1913,,,,,61.0,r,47.0,r,,,,,5.0,r,180.0,r,75.0,r,,,22.9," ,r,0306, ",40.8,"r,0620, ",,,,,,,,,,,376.9," ,r",,,20.9,r,,,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1914,893.8,,893.8,r,80.0,r,48.0,r,0.0,r,74.0,r,4.0,r,188.0,r,89.0,r,-17.0,"r,1231, ",38.0," ,r,1105, ",43.0,"r,0622, ",-1.0,"r,1014",-1.0,"r,0320",-4.4,"r,0318",2047.1,1.0,2047.1,r,524.4," ,r",14.8,r,21.4,r,8.1,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1915,,,,,46.0,r,27.0,r,0.0,r,53.0,r,,,,,,,-17.2,"r,0102, ",15.2," ,r,0420, ",,,-1.4,"r,1019",-1.5,"r,0225",-4.5,"r,0219",,,,,238.4," ,r",,,,,8.9,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1916,862.9,,862.9,r,57.0,r,21.0,r,1.0,r,99.0,r,8.0,r,194.0,r,87.0,r,-17.9,"r,0103, ",17.0," ,r,0119, ",41.3,"r,0731, ",0.0,"r,1020",-0.9,"r,0319",-5.2,"r,0304",2109.8,8.0,2109.8,r,192.7," ,r",13.8,r,20.9,r,6.8,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1917,939.3,,939.3,r,32.0,r,16.0,r,4.0,r,74.0,r,8.0,r,195.0,r,101.0,r,-20.9,"r,1230, ",21.2," ,r,0213, ",41.0,"r,0615, ",-2.7,"r,1024",-5.4,"r,0421",-5.4,"r,0421",2228.7,7.0,2228.7,r,141.2," ,r",14.9,r,22.4,r,7.4,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1918,940.1,,940.1,r,,,,,5.0,r,102.0,r,13.0,r,190.0,r,91.0,r,-25.2,"r,1226, ",,,40.7,"r,0815, ",-1.7,"r,1031",-0.3,"r,0407",-3.4,"r,0324",2587.0,0.0,2587.0,r,,,13.6,r,20.4,r,6.8,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1919,841.4,,841.4,r,47.0,r,30.0,r,6.0,r,87.0,r,17.0,r,210.0,r,77.0,r,-22.0,"r,0129, ",25.1," ,r,0320, ",43.5,"r,0710, ",0.0,"r,1104",-4.5,"r,0324",-4.5,"r,0324",2693.1,1.0,2693.1,r,273.6," ,r",13.9,r,21.1,r,6.8,r,UZM00038457,Uzbekistan,TASHKENT
UZM00038457,"TASHKENT, UZ",41.27,69.2694,477.0,1921,622.6,,622.6,r,,,,,0.0,r,96.0,r,23.0,r,175.0,r,51.0,r,-17.7,"r,0111, ",,,40.7,"r,0722, ",-1.6,"r,1115",-0.2,"r,0409",-3.3,"r,0324",3077.1,1.0,3077.1,r,,,12.8,r,18.9,r,6.6,r,UZM00038457,Uzbekistan,TASHKENT
