STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
VE000080453,"TUMEREMO, VE",7.3,-61.45,181.0,1961,2852.4,,2852.4,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,117.0,G,16.8,"G,0314, ",,,34.9,"G,0324, ",,,,,,,,,,,,,26.1,G,31.3,G,21.0,G,VE000080453,Venezuela,TUMEREMO
VE000080453,"TUMEREMO, VE",7.3,-61.45,181.0,1962,2883.8,,2883.8,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,145.0,G,15.7,"G,0226, ",,,35.5,"G,0504,+",,,,,,,0.0,0.0,0.0,G,,,26.2,G,31.5,G,20.9,G,VE000080453,Venezuela,TUMEREMO
VE000080453,"TUMEREMO, VE",7.3,-61.45,181.0,1963,2973.1,,2973.1,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,130.0,G,17.3,"G,1228, ",,,35.6,"G,1019, ",,,,,,,0.0,0.0,0.0,G,,,26.5,G,31.5,G,21.4,G,VE000080453,Venezuela,TUMEREMO
VE000080453,"TUMEREMO, VE",7.3,-61.45,181.0,1964,3001.1,,3001.1,G,,,,,0.0,G,0.0,G,0.0,G,366.0,G,184.0,G,17.4,"G,0112, ",,,35.0,"G,1003,+",,,,,,,0.0,0.0,0.0,G,,,26.5,G,32.0,G,21.1,G,VE000080453,Venezuela,TUMEREMO
VE000080453,"TUMEREMO, VE",7.3,-61.45,181.0,1965,2908.1,,2908.1,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,119.0,G,17.3,"G,0207, ",,,35.8,"G,1028, ",,,,,,,0.0,0.0,0.0,G,,,26.3,G,31.3,G,21.3,G,VE000080453,Venezuela,TUMEREMO
VE000080453,"TUMEREMO, VE",7.3,-61.45,181.0,1966,3145.4,,3145.4,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,199.0,G,18.2,"G,0309, ",,,35.6,"G,0507,+",,,,,,,0.0,0.0,0.0,G,,,26.9,G,32.1,G,21.8,G,VE000080453,Venezuela,TUMEREMO
VE000080453,"TUMEREMO, VE",7.3,-61.45,181.0,1967,2803.3,,2803.3,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,77.0,G,18.3,"G,0305, ",,,34.0,"G,0331, ",,,,,,,0.0,0.0,0.0,G,,,26.0,G,30.5,G,21.5,G,VE000080453,Venezuela,TUMEREMO
VE000080453,"TUMEREMO, VE",7.3,-61.45,181.0,1968,2872.7,,2872.7,G,,,,,0.0,G,0.0,G,0.0,G,366.0,G,95.0,G,17.5,"G,0311, ",,,35.8,"G,1014, ",,,,,,,0.0,0.0,0.0,G,,,26.2,G,31.0,G,21.4,G,VE000080453,Venezuela,TUMEREMO
VE000080453,"TUMEREMO, VE",7.3,-61.45,181.0,1969,3235.1,,3235.1,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,213.0,G,19.3,"G,0101, ",,,36.0,"G,1105, ",,,,,,,0.0,0.0,0.0,G,,,27.2,G,32.1,G,22.3,G,VE000080453,Venezuela,TUMEREMO
VE000080453,"TUMEREMO, VE",7.3,-61.45,181.0,1970,2952.3,,2952.3,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,102.0,G,17.5,"G,0401, ",,,35.2,"G,1030, ",,,,,,,0.0,0.0,0.0,G,,,26.4,G,31.2,G,21.7,G,VE000080453,Venezuela,TUMEREMO
