STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
VMM00048855,"DANANG INTERNATIONAL, VM",16.044,108.199,10.1,1995,,,,,113,S,65,S,,,,,0.0,S,324.0,S,102.0,S,,,289.1," ,S,1011, ",38.3,"S,0713, ",,,,,,,,,,,2521.1," ,S",,,29.8,S,,,VMM00048855,Vietnam,DANANG INTL
VMM00048855,"DANANG INTERNATIONAL, VM",16.044,108.199,10.1,1996,,,,,116,S,71,S,,,,,,,,,,,,,302.0," ,S,0912, ",,,,,,,,,,,,,2192.6," ,S",,,,,,,VMM00048855,Vietnam,DANANG INTL
VMM00048855,"DANANG INTERNATIONAL, VM",16.044,108.199,10.1,1997,,,,,118,S,79,S,,,,,,,,,,,,,189.0," ,S,1028, ",,,,,,,,,,,,,2006.9," ,S",,,,,,,VMM00048855,Vietnam,DANANG INTL
VMM00048855,"DANANG INTERNATIONAL, VM",16.044,108.199,10.1,1998,,,,,113,S,70,S,,,,,,,,,,,,,147.1," ,S,1120, ",,,,,,,,,,,,,2077.1," ,S",,,,,,,VMM00048855,Vietnam,DANANG INTL
VMM00048855,"DANANG INTERNATIONAL, VM",16.044,108.199,10.1,2003,,,,,134,S,80,S,,,,,,,,,,,,,135.9," ,S,0925, ",,,,,,,,,,,,,1643.6," ,S",,,,,,,VMM00048855,Vietnam,DANANG INTL
VMM00048855,"DANANG INTERNATIONAL, VM",16.044,108.199,10.1,2004,,,,,124,S,78,S,,,,,,,,,,,,,112.5," ,S,0721, ",,,,,,,,,,,,,1251.0," ,S",,,,,,,VMM00048855,Vietnam,DANANG INTL
VMM00048855,"DANANG INTERNATIONAL, VM",16.044,108.199,10.1,2005,,,,,123,S,80,S,,,,,,,,,,,,,302.5," ,S,1101, ",,,,,,,,,,,,,1867.7," ,S",,,,,,,VMM00048855,Vietnam,DANANG INTL
VMM00048855,"DANANG INTERNATIONAL, VM",16.044,108.199,10.1,2006,,,,,112,S,71,S,,,,,,,,,,,,,192.0," ,S,1108, ",,,,,,,,,,,,,2054.9," ,S",,,,,,,VMM00048855,Vietnam,DANANG INTL
VMM00048855,"DANANG INTERNATIONAL, VM",16.044,108.199,10.1,2007,,,,,142,S,95,S,,,,,,,,,,,,,301.0," ,S,1112, ",,,,,,,,,,,,,3036.2," ,S",,,,,,,VMM00048855,Vietnam,DANANG INTL
VMM00048855,"DANANG INTERNATIONAL, VM",16.044,108.199,10.1,2008,,,,,141,S,93,S,,,,,,,,,,,,,192.8," ,S,1118, ",,,,,,,,,,,,,2453.2," ,S",,,,,,,VMM00048855,Vietnam,DANANG INTL
VMM00048855,"DANANG INTERNATIONAL, VM",16.044,108.199,10.1,2010,,,,,127,S,83,S,,,,,,,,,,,,,171.7," ,S,1115, ",,,,,,,,,,,,,2134.4," ,S",,,,,,,VMM00048855,Vietnam,DANANG INTL
VMM00048855,"DANANG INTERNATIONAL, VM",16.044,108.199,10.1,2011,,,,,134,S,94,S,,,,,,,,,,,,,288.0," ,S,1107, ",,,,,,,,,,,,,3279.0," ,S",,,,,,,VMM00048855,Vietnam,DANANG INTL
VMM00048855,"DANANG INTERNATIONAL, VM",16.044,108.199,10.1,2012,,,,,123,S,75,S,,,,,,,,,,,,,176.0," ,S,0904, ",,,,,,,,,,,,,1653.8," ,S",,,,,,,VMM00048855,Vietnam,DANANG INTL
VMM00048855,"DANANG INTERNATIONAL, VM",16.044,108.199,10.1,2013,,,,,124,S,78,S,,,,,,,,,,,,,351.3," ,S,1116, ",,,,,,,,,,,,,2310.6," ,S",,,,,,,VMM00048855,Vietnam,DANANG INTL
VMM00048855,"DANANG INTERNATIONAL, VM",16.044,108.199,10.1,2014,,,,,120,S,82,S,,,,,,,,,,,,,207.5," ,S,1026, ",,,,,,,,,,,,,2272.7," ,S",,,,,,,VMM00048855,Vietnam,DANANG INTL
