STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
WF000917530,"HIHIFO ILE WALLIS, WF",-13.233,-176.167,27.0,1971,,,,,,,,,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,19.5,"G,1001, ",,,31.3,"G,0424, ",,,,,,,0.0,0.0,0.0,G,,,26.6,G,29.4,G,23.9,G,WF000917530,Wallis and Futuna [France],HIHIFO (ILE WALLIS)
WF000917530,"HIHIFO ILE WALLIS, WF",-13.233,-176.167,27.0,1972,3053.4,,3053.4,G,,,,,0.0,G,0.0,G,0.0,G,366.0,G,0.0,G,18.8,"G,0516, ",,,31.6,"G,1211, ",,,,,,,0.0,0.0,0.0,G,,,26.9,G,29.5,G,24.3,G,WF000917530,Wallis and Futuna [France],HIHIFO (ILE WALLIS)
WF000917530,"HIHIFO ILE WALLIS, WF",-13.233,-176.167,27.0,1973,3245.0,,3245.0,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,20.5,"G,1112, ",,,32.0,"G,0323, ",,,,,,,0.0,0.0,0.0,G,,,27.1,G,29.8,G,24.4,G,WF000917530,Wallis and Futuna [France],HIHIFO (ILE WALLIS)
WF000917530,"HIHIFO ILE WALLIS, WF",-13.233,-176.167,27.0,1974,3037.9,,3037.9,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,18.5,"G,0518, ",,,31.5,"G,1201, ",,,,,,,0.0,0.0,0.0,G,,,26.7,G,29.5,G,23.9,G,WF000917530,Wallis and Futuna [France],HIHIFO (ILE WALLIS)
WF000917530,"HIHIFO ILE WALLIS, WF",-13.233,-176.167,27.0,1975,3068.2,,3068.2,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,20.4,"G,0722, ",,,32.0,"G,0124, ",,,,,,,0.0,0.0,0.0,G,,,26.7,G,29.5,G,23.9,G,WF000917530,Wallis and Futuna [France],HIHIFO (ILE WALLIS)
WF000917530,"HIHIFO ILE WALLIS, WF",-13.233,-176.167,27.0,1976,3005.2,,3005.2,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,19.8,"G,0909, ",,,31.5,"G,1102, ",,,,,,,0.0,0.0,0.0,G,,,26.6,G,29.6,G,23.6,G,WF000917530,Wallis and Futuna [France],HIHIFO (ILE WALLIS)
WF000917530,"HIHIFO ILE WALLIS, WF",-13.233,-176.167,27.0,1977,3117.7,,3117.7,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,19.0,"G,0528, ",,,32.0,"G,0220, ",,,,,,,0.0,0.0,0.0,G,,,26.9,G,29.6,G,24.1,G,WF000917530,Wallis and Futuna [France],HIHIFO (ILE WALLIS)
WF000917530,"HIHIFO ILE WALLIS, WF",-13.233,-176.167,27.0,1978,3071.4,,3071.4,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,18.4,"G,0709, ",,,31.8,"G,0309, ",,,,,,,0.0,0.0,0.0,G,,,26.7,G,29.5,G,23.9,G,WF000917530,Wallis and Futuna [France],HIHIFO (ILE WALLIS)
WF000917530,"HIHIFO ILE WALLIS, WF",-13.233,-176.167,27.0,1979,3115.6,,3115.6,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,18.8,"G,0816, ",,,31.9,"G,1204, ",,,,,,,0.0,0.0,0.0,G,,,27.0,G,29.8,G,24.1,G,WF000917530,Wallis and Futuna [France],HIHIFO (ILE WALLIS)
WF000917530,"HIHIFO ILE WALLIS, WF",-13.233,-176.167,27.0,1980,3148.9,,3148.9,G,,,,,0.0,G,0.0,G,0.0,G,366.0,G,0.0,G,20.3,"G,0127, ",,,32.1,"G,0220,+",,,,,,,0.0,0.0,0.0,G,,,27.0,G,29.8,G,24.1,G,WF000917530,Wallis and Futuna [France],HIHIFO (ILE WALLIS)
WF000917530,"HIHIFO ILE WALLIS, WF",-13.233,-176.167,27.0,1981,3121.1,,3121.1,G,,,,,0.0,G,0.0,G,0.0,G,364.0,G,0.0,G,19.9,"G,1029, ",,,32.1,"G,0113, ",,,,,,,0.0,0.0,0.0,G,,,26.8,G,29.6,G,23.9,G,WF000917530,Wallis and Futuna [France],HIHIFO (ILE WALLIS)
WF000917530,"HIHIFO ILE WALLIS, WF",-13.233,-176.167,27.0,1982,3121.6,,3121.6,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,19.5,"G,1215, ",,,32.0,"G,0425,+",,,,,,,0.0,0.0,0.0,G,,,26.9,G,29.7,G,24.1,G,WF000917530,Wallis and Futuna [France],HIHIFO (ILE WALLIS)
WF000917530,"HIHIFO ILE WALLIS, WF",-13.233,-176.167,27.0,1983,3119.4,,3119.4,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,1.0,G,19.6,"G,0705, ",,,32.4,"G,0224, ",,,,,,,0.0,0.0,0.0,G,,,26.9,G,29.7,G,24.2,G,WF000917530,Wallis and Futuna [France],HIHIFO (ILE WALLIS)
WF000917530,"HIHIFO ILE WALLIS, WF",-13.233,-176.167,27.0,1984,3127.0,,3127.0,G,,,,,0.0,G,0.0,G,0.0,G,366.0,G,0.0,G,19.3,"G,0728, ",,,31.6,"G,1210, ",,,,,,,0.0,0.0,0.0,G,,,26.8,G,29.6,G,23.9,G,WF000917530,Wallis and Futuna [France],HIHIFO (ILE WALLIS)
WF000917530,"HIHIFO ILE WALLIS, WF",-13.233,-176.167,27.0,1985,3073.9,,3073.9,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,0.0,G,20.3,"G,1226, ",,,32.0,"G,1217, ",,,,,,,0.0,0.0,0.0,G,,,26.9,G,29.6,G,24.3,G,WF000917530,Wallis and Futuna [France],HIHIFO (ILE WALLIS)
WF000917530,"HIHIFO ILE WALLIS, WF",-13.233,-176.167,27.0,1986,3150.1,,3150.1,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,1.0,G,19.1,"G,0814,+",,,32.2,"G,0404, ",,,,,,,0.0,0.0,0.0,G,,,26.9,G,29.6,G,24.1,G,WF000917530,Wallis and Futuna [France],HIHIFO (ILE WALLIS)
WF000917530,"HIHIFO ILE WALLIS, WF",-13.233,-176.167,27.0,1987,3153.8,,3153.8,G,,,,,0.0,G,0.0,G,0.0,G,365.0,G,8.0,G,19.4,"G,0813, ",,,32.6,"G,0214, ",,,,,,,0.0,0.0,0.0,G,,,27.1,G,29.7,G,24.5,G,WF000917530,Wallis and Futuna [France],HIHIFO (ILE WALLIS)
