STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1950,,,,,99,Q,61,Q,,,,,,,,,,,,,91.4," ,Q,0202, ",,,,,,,,,,,,,990.3," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1951,,,,,103,Q,84,Q,,,,,,,,,,,,,59.7," ,Q,1108, ",,,,,,,,,,,,,1117.6," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1952,,,,,75,Q,72,Q,,,,,,,,,,,,,68.6," ,Q,1220, ",,,,,,,,,,,,,983.6," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1953,,,,,80,Q,67,Q,,,,,,,,,,,,,53.3," ,Q,0207, ",,,,,,,,,,,,,841.6," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1954,,,,,79,Q,57,Q,,,,,,,,,,,,,138.7," ,Q,1227, ",,,,,,,,,,,,,928.6," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1955,,,,,96,Q,61,Q,,,,,,,,,,,,,59.7," ,Q,0115, ",,,,,,,,,,,,,988.3," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1956,,,,,114,Q,69,Q,,,,,,,,,,,,,78.5," ,Q,0117, ",,,,,,,,,,,,,1123.2," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1957,,,,,94,Q,61,Q,,,,,,,,,,,,,61.7," ,Q,0206, ",,,,,,,,,,,,,945.7," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1958,,,,,84,Q,54,Q,,,,,,,,,,,,,68.6," ,Q,1227, ",,,,,,,,,,,,,922.2," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1959,,,,,84,Q,51,Q,,,,,,,,,,,,,96.8," ,Q,0206, ",,,,,,,,,,,,,842.5," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1960,,,,,86,Q,63,Q,,,,,,,,,,,,,67.3," ,Q,0112, ",,,,,,,,,,,,,985.5," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1961,,,,,112,Q,79,Q,,,,,,,,,,,,,70.4," ,Q,0201, ",,,,,,,,,,,,,1402.5," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1962,,,,,108,Q,78,Q,,,,,,,,,,,,,71.1," ,Q,0115, ",,,,,,,,,,,,,1305.3," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1963,,,,,108,Q,65,Q,,,,,,,,,,,,,52.6," ,Q,1228, ",,,,,,,,,,,,,985.2," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1964,,,,,82,Q,51,Q,,,,,,,,,,,,,83.1," ,Q,0205, ",,,,,,,,,,,,,838.2," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1965,,,,,92,Q,64,Q,,,,,,,,,,,,,49.8," ,Q,0204, ",,,,,,,,,,,,,913.5," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1966,,,,,84,Q,57,Q,,,,,,,,,,,,,41.9," ,Q,0213, ",,,,,,,,,,,,,762.4," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1967,,,,,103,Q,69,Q,,,,,,,,,,,,,87.4," ,Q,0106, ",,,,,,,,,,,,,1042.3," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1968,,,,,97,Q,72,Q,,,,,,,,,,,,,64.0," ,Q,1111, ",,,,,,,,,,,,,855.0," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1969,,,,,108,Q,75,Q,,,,,,,,,,,,,82.0," ,Q,0111, ",,,,,,,,,,,,,1177.2," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1970,,,,,79,Q,64,Q,,,,,,,,,,,,,81.8," ,Q,0213, ",,,,,,,,,,,,,1028.4," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1971,,,,,110,Q,75,Q,,,,,,,,,,,,,66.3," ,Q,0203, ",,,,,,,,,,,,,1079.9," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1972,,,,,92,Q,63,Q,,,,,,,,,,,,,43.9," ,Q,0207, ",,,,,,,,,,,,,918.0," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1973,,,,,77,Q,60,Q,,,,,,,,,,,,,54.7," ,Q,0203, ",,,,,,,,,,,,,871.2," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1974,,,,,98,Q,73,Q,,,,,,,,,,,,,81.6," ,Q,0130, ",,,,,,,,,,,,,1309.2," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1975,,,,,75,Q,50,Q,,,,,,,,,,,,,47.5," ,Q,0217, ",,,,,,,,,,,,,691.7," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1976,,,,,93,Q,61,Q,,,,,,,,,,,,,44.5," ,Q,0222, ",,,,,,,,,,,,,1042.6," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1977,,,,,92,Q,70,Q,,,,,,,,,,,,,69.2," ,Q,0211, ",,,,,,,,,,,,,1144.6," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1978,,,,,94,Q,68,Q,,,,,,,,,,,,,93.0," ,Q,0106, ",,,,,,,,,,,,,1460.4," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
ZA000067581,"CHIPATA, ZA",-13.55,32.583,1032.0,1979,,,,,82,Q,60,Q,,,,,,,,,,,,,48.2," ,Q,0209, ",,,,,,,,,,,,,893.5," ,Q",,,,,,,ZA000067581,Zambia,CHIPATA
