STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
ZI000067983,"CHIPINGE, ZI",-20.2,32.616,1132.0,1952,570.4,,570.4,Q,119,Q,84,Q,0,Q,0,Q,0,Q,266,Q,6,Q,7.2,"Q,0918, ",84.3," ,Q,0104, ",34.1,"Q,1011, ",,,,,,,408.9,9,408.9,Q,1430.7," ,Q",18.8,Q,23.6,Q,14.1,Q,ZI000067983,Zimbabwe,CHIPINGE
ZI000067983,"CHIPINGE, ZI",-20.2,32.616,1132.0,1953,582.6,,582.6,Q,133,Q,89,Q,0,Q,0,Q,0,Q,259,Q,0,Q,5.0,"Q,0731, ",105.7," ,Q,1129, ",31.7,"Q,1010, ",,,,,,,498.0,0,498.0,Q,1647.9," ,Q",18.4,Q,23.1,Q,13.7,Q,ZI000067983,Zimbabwe,CHIPINGE
ZI000067983,"CHIPINGE, ZI",-20.2,32.616,1132.0,1954,544.6,,544.6,Q,100,Q,62,Q,0,Q,0,Q,0,Q,287,Q,8,Q,2.5,"Q,0723, ",112.0," ,Q,1230, ",37.0,"Q,1026, ",,,,,,,400.3,3,400.3,Q,1161.8," ,Q",19.0,Q,24.2,Q,13.8,Q,ZI000067983,Zimbabwe,CHIPINGE
ZI000067983,"CHIPINGE, ZI",-20.2,32.616,1132.0,1955,549.8,,549.8,Q,139,Q,89,Q,0,Q,0,Q,0,Q,274,Q,9,Q,3.5,"Q,0808, ",87.9," ,Q,0205, ",36.2,"Q,1114, ",,,,,,,416.8,8,416.8,Q,1357.7," ,Q",18.6,Q,23.6,Q,13.6,Q,ZI000067983,Zimbabwe,CHIPINGE
ZI000067983,"CHIPINGE, ZI",-20.2,32.616,1132.0,1956,591.9,,591.9,Q,118,Q,65,Q,0,Q,0,Q,0,Q,292,Q,0,Q,6.1,"Q,0830, ",51.6," ,Q,0219, ",31.6,"Q,0819, ",,,,,,,331.8,8,331.8,Q,944.4," ,Q",18.9,Q,24.0,Q,13.8,Q,ZI000067983,Zimbabwe,CHIPINGE
ZI000067983,"CHIPINGE, ZI",-20.2,32.616,1132.0,1957,598.4,,598.4,Q,96,Q,55,Q,0,Q,0,Q,0,Q,305,Q,12,Q,7.2,"Q,0717, ",61.5," ,Q,1130, ",34.8,"Q,1124, ",,,,,,,282.1,1,282.1,Q,947.2," ,Q",19.7,Q,24.9,Q,14.5,Q,ZI000067983,Zimbabwe,CHIPINGE
ZI000067983,"CHIPINGE, ZI",-20.2,32.616,1132.0,1958,765.1,,765.1,Q,129,Q,83,Q,0,Q,0,Q,0,Q,271,Q,6,Q,6.6,"Q,0623, ",68.3," ,Q,0218,+",34.9,"Q,1119, ",,,,,,,401.3,3,401.3,Q,1463.2," ,Q",19.2,Q,24.1,Q,14.4,Q,ZI000067983,Zimbabwe,CHIPINGE
ZI000067983,"CHIPINGE, ZI",-20.2,32.616,1132.0,1959,691.8,,691.8,Q,112,Q,66,Q,0,Q,0,Q,0,Q,288,Q,4,Q,7.2,"Q,0901, ",80.8," ,Q,0326, ",35.2,"Q,1101, ",,,,,,,332.4,4,332.4,Q,960.5," ,Q",19.2,Q,24.5,Q,14.0,Q,ZI000067983,Zimbabwe,CHIPINGE
ZI000067983,"CHIPINGE, ZI",-20.2,32.616,1132.0,1960,560.7,,560.7,Q,112,Q,74,Q,0,Q,0,Q,0,Q,281,Q,2,Q,5.8,"Q,0722, ",77.2," ,Q,0212, ",32.9,"Q,1010, ",,,,,,,421.8,8,421.8,Q,1036.4," ,Q",18.8,Q,23.9,Q,13.7,Q,ZI000067983,Zimbabwe,CHIPINGE
ZI000067983,"CHIPINGE, ZI",-20.2,32.616,1132.0,1961,718.4,,718.4,Q,119,Q,71,Q,0,Q,0,Q,0,Q,282,Q,7,Q,5.8,"Q,0809, ",65.0," ,Q,0205, ",33.8,"Q,1014, ",,,,,,,339.9,9,339.9,Q,1017.4," ,Q",19.3,Q,24.4,Q,14.1,Q,ZI000067983,Zimbabwe,CHIPINGE
