COUNTRY,Avg_CLDD_Period1,Avg_CLDD_Period2,CLDD_Change_Percent,Abs_Change_Percent
Svalbard [Norway],0.0,0.024999999999999998,2499999999.9999995,2499999999.9999995
Switzerland,0.0,0.01,1000000000.0,1000000000.0
Ireland,1.2,2.4545454545454546,104.54545445833334,104.54545445833334
Romania,151.85,0.0,-99.99999999934145,99.99999999934145
Denmark,20.7,0.0,-99.99999999516909,99.99999999516909
Iceland,0.07500000000000001,0.0,-99.99999866666668,99.99999866666668
Norway,3.9324358974358975,7.322222222222223,86.20067592543829,86.20067592543829
Slovakia,53.56923076923077,78.0,45.605973577551865,45.605973577551865
Luxembourg,134.08461538461538,181.73333333333332,35.53630505012413,35.53630505012413
India,2249.1,3006.5,33.675692499206946,33.675692499206946
