COUNTRY,Avg_DP01_Period1,Avg_DP01_Period2,DP01_Change_Percent,Abs_Change_Percent
Pakistan,10.75,34.07142857142857,216.94352157450356,216.94352157450356
Svalbard [Norway],74.0,117.0,58.10810810732286,58.10810810732286
Greenland [Denmark],144.33333333333331,85.75,-40.588914549372355,40.588914549372355
Tunisia,68.75,92.16666666666667,34.060606060110636,34.060606060110636
Mexico,52.800000000000004,35.62380952380953,-32.53066378004767,32.53066378004767
Chile,129.04166666666666,87.54540816326531,-32.15725554000371,32.15725554000371
Morocco,37.0,47.875,29.391891891097522,29.391891891097522
Uruguay,79.0,96.05555555555556,21.58931082954388,21.58931082954388
Cayman Islands [United Kingdom],89.0,107.0,20.22471910089635,20.22471910089635
Kiribati,189.0,150.85714285714286,-20.181405895584827,20.181405895584827
