COUNTRY,Avg_DT32_Period1,Avg_DT32_Period2,DT32_Change_Percent,Abs_Change_Percent
India,0.0,3.827777777777778,382777777777.7778,382777777777.7778
Bolivia,0.0,0.8125,81250000000.0,81250000000.0
Niger,0.0,0.3333333333333333,33333333333.333332,33333333333.333332
Egypt,0.2,0.5,149.99999924999997,149.99999924999997
Turkey,51.02579365079365,0.0,-99.99999999804021,99.99999999804021
Saudi Arabia,0.375,0.0,-99.99999973333333,99.99999973333333
Algeria,17.0,3.0,-82.3529411716263,82.3529411716263
Chile,8.125,12.75,56.923076916071004,56.923076916071004
New Zealand,20.2,10.0,-50.49504950245074,50.49504950245074
Ireland,8.2,5.090909090909091,-37.9157427891677,37.9157427891677
