COUNTRY,Avg_DX32_Period1,Avg_DX32_Period2,DX32_Change_Percent,Abs_Change_Percent
Italy,27.950000000000003,0.0,-99.99999999642219,99.99999999642219
Japan,1.0346153846153847,0.0,-99.99999990334571,99.99999990334571
India,0.020833333333333332,0.0,-99.99999520000024,99.99999520000024
Denmark,2.0,0.25,-87.49999995625,87.49999995625
Australia,0.05541685474507369,0.007575757575757576,-86.32950485208461,86.32950485208461
United Kingdom,0.7692307692307693,0.32222222222222224,-58.111111035566665,58.111111035566665
France,3.828205128205128,1.6166666666666665,-57.76959141156722,57.76959141156722
Netherlands,6.923076923076923,3.25,-53.05555554789198,53.05555554789198
Turkmenistan,4.012820512820513,1.9416666666666664,-51.61341851748931,51.61341851748931
Romania,97.66666666666667,47.375,-51.49317406090621,51.49317406090621
