COUNTRY,Avg_EMXP_Period1,Avg_EMXP_Period2,EMXP_Change_Percent,Abs_Change_Percent
Pakistan,48.95,107.72857142857143,120.07879760443441,120.07879760443441
New Caledonia [France],535.525,130.55,-75.62205312529645,75.62205312529645
Falkland Islands (Islas Malvinas) [United Kingdom],74.55,18.8,-74.78202548524773,74.78202548524773
Tuvalu,341.1,117.675,-65.50131926102169,65.50131926102169
Greenland [Denmark],78.58589743589744,34.2375,-56.43302282258483,56.43302282258483
Turkey,51.958333333333336,25.15833333333333,-51.57979149860633,51.57979149860633
Bosnia and Herzegovina,73.25,108.86666666666667,48.62343572174804,48.62343572174804
Cyprus,60.455555555555556,36.4875,-39.645745266758304,39.645745266758304
Seychelles,136.68333333333334,189.29999999999998,38.49530545027316,38.49530545027316
Kiribati,91.4,123.8,35.44857768013731,35.44857768013731
