COUNTRY,Avg_EMXT_Period1,Avg_EMXT_Period2,EMXT_Change_Percent,Abs_Change_Percent
Antarctica,9.116111111111111,4.542857142857143,-50.166720348309724,50.166720348309724
Romania,24.461666666666666,30.3625,24.122777133305608,24.122777133305608
Egypt,45.93472222222223,40.2,-12.48450397578119,12.48450397578119
Pakistan,45.95833333333333,41.0,-10.788757932675486,10.788757932675486
Denmark,19.433333333333334,17.724999999999998,-8.790737563870128,8.790737563870128
Sri Lanka,28.977777777777778,31.3875,8.315759202167015,8.315759202167015
Saudi Arabia,45.6051282051282,41.9,-8.124367479862334,8.124367479862334
Svalbard [Norway],14.961538461538462,16.158333333333335,7.999143101436229,7.999143101436229
Kyrgyzstan,34.45384615384615,36.995,7.375530252074391,7.375530252074391
Nepal,32.4,34.6,6.790123456580561,6.790123456580561
