COUNTRY,Avg_PRCP_Period1,Avg_PRCP_Period2,PRCP_Change_Percent,Abs_Change_Percent
Pakistan,129.2625,519.8714285714286,302.18271236314234,302.18271236314234
New Caledonia [France],4676.2,962.3,-79.42132500746771,79.42132500746771
Greenland [Denmark],1245.3064102564103,468.59375,-62.37120871287095,62.37120871287095
Israel,13.415384615384616,20.75,54.67316513353927,54.67316513353927
Chile,859.2416666666667,413.2965816326531,-51.89984405242932,51.89984405242932
Svalbard [Norway],175.0,243.0666666666667,38.895238095015856,38.895238095015856
Tuvalu,3998.8,2743.175,-31.400045013496197,31.400045013496197
China,720.2355023534946,917.5330862977602,27.39348217344016,27.39348217344016
Uruguay,954.95,1214.7,27.200376983059638,27.200376983059638
Malta,577.64,421.5285714285714,-27.02573031146706,27.02573031146706
